0 1 2
0 3 4
0 5 6
0 7 8
0 9 10
0 11 12
0 13 14
0 15 16
0 17 18
0 19 20
0 21 22
0 23 24
0 25 26
0 25 35
0 27 33
0 28 34
0 29 31
0 30 32
1 3 22
1 4 31
1 5 11
1 6 21
1 7 25
1 8 34
1 9 19
1 10 17
1 12 30
1 13 18
1 14 33
1 15 32
1 16 29
1 20 23
1 24 26
1 27 28
1 34 35
2 3 32
2 4 24
2 5 27
2 6 9
2 7 23
2 8 25
2 10 16
2 11 14
2 12 15
2 13 34
2 16 35
2 17 28
2 18 30
2 19 29
2 20 33
2 21 26
2 22 31
3 5 7
3 6 27
3 8 23
3 9 24
3 10 28
3 11 25
3 12 21
3 13 26
3 14 29
3 15 30
3 16 33
3 17 20
3 18 34
3 19 31
3 29 35
4 5 18
4 6 20
4 7 29
4 8 12
4 9 33
4 10 26
4 11 16
4 13 22
4 14 17
4 15 23
4 17 35
4 19 34
4 21 32
4 25 27
4 28 30
5 8 28
5 9 29
5 10 30
5 12 14
5 13 17
5 15 22
5 15 35
5 16 34
5 19 23
5 20 21
5 24 32
5 25 33
5 26 31
6 7 14
6 7 35
6 8 18
6 10 15
6 11 30
6 12 26
6 13 23
6 16 19
6 17 31
6 22 29
6 24 28
6 25 32
6 33 34
7 9 13
7 10 34
7 11 18
7 12 16
7 15 17
7 19 27
7 20 22
7 21 30
7 24 33
7 26 28
7 31 32
8 9 31
8 9 35
8 10 13
8 11 24
8 14 21
8 15 33
8 16 32
8 17 29
8 19 26
8 20 30
8 22 27
9 11 23
9 12 17
9 14 34
9 15 25
9 16 21
9 18 20
9 22 28
9 26 30
9 27 32
10 11 19
10 12 27
10 14 22
10 18 33
10 20 32
10 21 25
10 23 31
10 24 29
10 28 35
11 13 20
11 15 27
11 17 22
11 21 31
11 26 33
11 28 32
11 29 34
11 31 35
12 13 31
12 18 29
12 18 35
12 19 32
12 20 25
12 22 33
12 23 28
12 24 34
13 14 35
13 15 29
13 16 30
13 19 21
13 24 27
13 25 28
13 32 33
14 15 31
14 16 28
14 18 27
14 19 30
14 20 26
14 23 32
14 24 25
15 18 26
15 19 28
15 20 34
15 21 24
16 17 26
16 18 23
16 20 24
16 22 25
16 27 31
17 19 33
17 21 27
17 23 25
17 24 30
17 32 34
18 19 25
18 21 28
18 22 32
18 24 31
19 22 24
19 24 35
20 27 29
20 27 35
20 28 31
21 23 29
21 23 34
21 33 35
22 23 30
22 26 34
22 30 35
23 26 27
23 33 35
25 29 30
25 31 34
26 29 32
26 32 35
27 30 34
28 29 33
30 31 33
