0 1 2 3 4 5 6 7 8 9
0 1 10 11 12 13 14 15 16 17
0 1 18 19 21 22 23 24 25 46
0 1 20 47 48 49 50 51 52 53
0 1 26 27 28 31 33 37 42 45
0 1 26 27 29 30 32 33 34 60
0 1 26 27 35 36 38 40 41 43
0 1 39 44 54 55 56 57 58 59
2 3 10 11 22 23 34 35 48 49
2 3 12 13 21 30 31 46 50 51
2 3 14 15 18 19 26 27 56 57
2 3 16 17 20 38 45 47 54 55
2 3 20 24 25 33 39 44 47 60
2 3 20 32 36 37 42 43 47 60
2 3 28 29 40 41 52 53 58 59
4 5 10 11 24 32 38 39 52 57
4 5 10 11 25 28 31 32 44 60
4 5 10 11 29 30 33 45 53 56
4 5 12 13 18 19 20 40 41 47
4 5 14 15 21 42 43 46 48 49
4 5 16 17 34 35 36 37 58 59
4 5 22 23 26 27 50 51 54 55
6 7 10 11 18 19 36 37 50 51
6 7 12 13 26 27 39 44 48 49
6 7 14 15 20 22 23 28 29 47
6 7 16 17 21 32 46 54 55 60
6 7 21 33 34 35 40 41 45 46
6 7 21 38 46 52 53 56 57 60
6 7 24 25 30 31 42 43 58 59
8 9 10 11 40 41 42 43 54 55
8 9 12 13 22 23 37 38 45 58
8 9 14 15 33 34 38 50 51 59
8 9 16 17 24 25 26 27 52 53
8 9 18 19 32 45 48 49 59 60
8 9 20 30 31 34 35 47 56 57
8 9 21 28 29 36 37 39 44 46
10 11 20 21 26 27 46 47 58 59
12 13 22 23 32 42 53 56 59 60
12 13 22 23 33 36 43 45 52 57
12 13 24 25 28 29 34 35 54 55
14 15 24 25 38 39 44 45 50 51
14 15 30 31 36 37 52 53 54 55
14 15 32 35 40 41 50 51 58 60
16 17 18 19 33 48 49 54 55 58
16 17 22 23 30 31 39 40 41 44
16 17 28 29 42 43 50 51 56 57
18 19 28 29 30 31 38 42 48 49
18 19 34 35 39 42 43 44 52 53
24 25 36 37 40 41 48 49 56 57
