0 1 2 3 4 5 6 7 8 9
0 1 4 16 19 28 34 41 43 44
0 4 10 14 15 25 26 38 40 45
0 4 11 22 27 29 30 32 42 46
0 4 12 17 20 23 24 35 36 37
0 4 13 18 21 31 33 39 47 48
1 2 14 21 24 32 35 37 46 48
1 3 7 10 12 18 25 27 36 42
1 5 6 11 13 15 22 24 40 47
1 8 9 20 23 30 33 38 39 45
1 14 17 18 19 24 26 29 30 31
2 10 11 17 19 22 25 33 36 39
2 12 13 26 30 34 36 43 46 47
2 15 18 20 21 23 28 29 40 44
2 16 24 27 31 38 40 41 42 45
3 7 11 14 20 22 23 31 34 43
3 7 13 19 29 35 37 38 45 47
3 7 15 16 17 21 30 40 41 48
3 7 24 26 28 32 33 39 44 46
5 6 10 25 28 30 31 35 37 44
5 6 12 14 16 29 33 36 39 41
5 6 17 18 32 34 38 43 45 46
5 6 19 20 21 23 26 27 42 48
8 9 10 21 24 25 29 34 43 48
8 9 11 16 18 22 26 35 37 41
8 9 12 15 19 31 32 36 40 46
8 9 13 14 17 27 28 42 44 47
10 13 16 20 23 25 32 41 46 47
11 12 21 22 28 36 38 44 45 48
15 27 33 34 35 37 39 40 42 43
