# Symbol Z A transition E_tran[keV] dE_tran[keV] N_pol[keV] alpha[1/fm]	k C_z[am/keV] barrett[fm] dbarrett_stat[fm] dbarrett_pol[fm]
Be 4 9 2p->1s 33.4020 0.0100 0.0010 0.0420 2.1160 -20.8000 5.6613 0.7697 0.0222
B 5 -1 2p->1s 52.2570 0.0070 0.0010 0.0440 2.1190 -8.6000 5.9557 0.2277 0.0113
C 6 12 2p->1s 75.2582 0.0005 0.0025 0.0208 2.0231 -4.1410 5.9419 0.0077 0.0121
C 6 13 2p->1s 75.3127 0.0040 0.0025 0.0208 2.0231 -4.1350 5.9313 0.0602 0.0113
C 6 14 2p->1s 75.3514 0.0030 0.0025 0.0208 2.0234 -4.0950 6.0453 0.0453 0.0107
N 7 -1 2p->1s 102.4030 0.0050 0.0030 0.0470 2.1120 -2.2000 6.3875 0.0423 0.0077
O 8 16 2p->1s 133.5350 0.0020 0.0050 0.0272 2.0330 -1.2870 6.9100 0.0101 0.0086
O 8 18 2p->1s 133.5720 0.0090 0.0050 0.0258 2.0287 -1.2580 7.2956 0.0451 0.0084
F 9 19 2p->1s 168.5150 0.0020 0.0090 0.0300 2.0392 -0.7820 7.9412 0.0066 0.0099
Ne 10 20 2p->1s 207.2820 0.0050 0.0190 0.0329 2.0445 -0.5160 8.4887 0.0111 0.0140
Ne 10 21 2p->1s 207.4290 0.0040 0.0180 0.0330 2.0441 -0.5210 8.2736 0.0088 0.0130
Ne 10 22 2p->1s 207.5120 0.0040 0.0180 0.0330 2.0439 -0.5220 8.1975 0.0088 0.0130
Na 11 23 2p->1s 250.2290 0.0020 0.0250 0.0360 2.0484 -0.3640 8.3732 0.0029 0.0126
Mg 12 24 2p->1s 296.5340 0.0020 0.0380 0.0389 2.0533 -0.2620 8.6795 0.0021 0.0128
Mg 12 25 2p->1s 296.7210 0.0030 0.0310 0.0390 2.0529 -0.2640 8.5173 0.0034 0.0105
Mg 12 26 2p->1s 296.7450 0.0030 0.0330 0.0390 2.0530 -0.2630 8.5470 0.0034 0.0110
Al 13 27 2p->1s 346.8280 0.0020 0.0400 0.0419 2.0573 -0.1960 8.6616 0.0017 0.0101
Si 14 28 2p->1s 400.1730 0.0050 0.0550 0.0446 2.0621 -0.1490 8.9549 0.0030 0.0107
Si 14 29 2p->1s 400.3750 0.0450 0.0530 0.0446 2.0620 -0.1490 8.9316 0.0286 0.0111
Si 14 30 2p->1s 400.2950 0.0440 0.0510 0.0446 2.0622 -0.1490 9.0150 0.0283 0.0111
P 15 31 2p->1s 456.8000 0.0110 0.0610 0.0473 2.0671 -0.1160 9.2948 0.0056 0.0091
S 16 32 2p->1s 516.3300 0.0120 0.0830 0.0498 2.0722 -0.0920 9.6741 0.0048 0.0101
S 16 34 2p->1s 516.1060 0.0140 0.0790 0.0497 2.0726 -0.0910 9.8094 0.0057 0.0097
S 16 36 2p->1s 515.9810 0.0130 0.0550 0.0497 2.0728 -0.0910 9.8959 0.0053 0.0066
Ar 18 36 2p->1s 644.5970 0.0240 0.1180 0.0548 2.0821 -0.0600 10.3394 0.0063 0.0094
Ar 18 38 2p->1s 644.4340 0.0240 0.1070 0.0547 2.0822 -0.0600 10.4113 0.0063 0.0085
Ar 18 40 2p->1s 644.0040 0.0250 0.1260 0.0546 2.0827 -0.0600 10.5669 0.0068 0.0104
K 19 30 2p32->1s 713.1180 0.0320 0.1190 0.0572 2.0866 -0.0500 10.5602 0.0072 0.0081
K 19 41 2p32->1s 712.7690 0.0280 0.1320 0.0571 2.0869 -0.0500 10.6701 0.0063 0.0090
Ca 20 40 2p32->1s 784.1800 0.0250 0.1420 0.0596 2.0911 -0.0420 10.7759 0.0050 0.0081
Ca 20 42 2p32->1s 783.3690 0.0290 0.1660 0.0595 2.0917 -0.0420 10.9653 0.0055 0.0096
Ca 20 43 2p32->1s 783.8110 0.0270 0.1450 0.0595 2.0914 -0.0420 10.8801 0.0050 0.0082
Ca 20 44 2p32->1s 783.1560 0.0260 0.1750 0.0594 2.0919 -0.0420 11.0306 0.0050 0.0100
Ca 20 46 2p32->1s 783.8170 0.1070 0.1560 0.0595 2.0915 -0.0420 10.9047 0.0204 0.0091
Ca 20 48 2p32->1s 784.4870 0.0260 0.1530 0.0596 2.0912 -0.0420 10.7809 0.0050 0.0086
Sc 21 45 2p12->1s 855.1850 0.0410 0.1820 0.0619 2.0962 -0.0360 11.1498 0.0068 0.0091
Sc 21 45 2p32->1s 857.0050 0.0410 0.2030 0.0618 2.0961 -0.0360 11.1525 0.0068 0.0100
Ti 22 46 2p32->1s 931.9440 0.0260 0.2570 0.0640 2.1009 -0.0310 11.4796 0.0037 0.0110
Ti 22 47 2p32->1s 932.4740 0.0250 0.2520 0.0641 2.1007 -0.0310 11.4092 0.0037 0.0106
Ti 22 48 2p32->1s 932.6520 0.0260 0.2410 0.0641 2.1007 -0.0310 11.3877 0.0037 0.0101
Ti 22 49 2p32->1s 933.4260 0.0330 0.2150 0.0642 2.1003 -0.0310 11.2703 0.0046 0.0091
Ti 22 50 2p32->1s 933.5880 0.0260 0.2160 0.0642 2.1003 -0.0310 11.2525 0.0036 0.0091
V 23 51 2p32->1s 1012.2010 0.0260 0.2450 0.0665 2.1044 -0.0270 11.3786 0.0032 0.0091
Cr 24 50 2p32->1s 1091.1780 0.0270 0.3330 0.0686 2.1092 -0.0230 11.7159 0.0028 0.0106
Cr 24 52 2p32->1s 1092.2860 0.0210 0.2990 0.0687 2.1088 -0.0230 11.5910 0.0023 0.0096
Cr 24 53 2p32->1s 1091.3810 0.0250 0.3020 0.0686 2.1092 -0.0230 11.7026 0.0028 0.0096
Cr 24 54 2p32->1s 1089.8880 0.0310 0.3180 0.0684 2.1097 -0.0230 11.8857 0.0032 0.0102
Mn 25 55 2p32->1s 1172.8540 0.0340 0.3640 0.0707 2.1136 -0.0210 11.9554 0.0032 0.0106
Fe 26 54 2p12->1s 1255.8490 0.0630 0.3620 0.0732 2.1170 -18.1800 11.8159 0.0050 0.0091
Fe 26 54 2p32->1s 1260.0110 0.0480 0.3620 0.0731 2.1168 -18.1500 11.8178 0.0041 0.0091
Fe 26 56 2p12->1s 1252.9190 0.0580 0.4030 0.0729 2.1179 -18.1700 12.1008 0.0051 0.0102
Fe 26 56 2p32->1s 1257.0470 0.0440 0.4030 0.0728 2.1177 -18.1400 12.1024 0.0037 0.0102
Fe 26 57 2p12->1s 1251.8230 0.0730 0.3900 0.0728 2.1183 -18.1700 12.2090 0.0060 0.0097
Fe 26 57 2p32->1s 1255.8960 0.0560 0.3910 0.0727 2.1181 -18.1400 12.2110 0.0046 0.0097
Fe 26 58 2p12->1s 1250.3810 0.0670 0.4000 0.0727 2.1187 -18.1700 12.3457 0.0056 0.0103
Fe 26 58 2p32->1s 1254.4600 0.0540 0.4010 0.0726 2.1185 -18.1400 12.3473 0.0047 0.0103
Co 27 59 2p12->1s 1336.5530 0.0650 0.3200 0.0749 2.1224 -16.2100 12.3750 0.0051 0.0074
Co 27 59 2p32->1s 1341.5000 0.0500 0.4380 0.0748 2.1222 -16.1700 12.3770 0.0037 0.0097
Ni 28 56 2p12->1s 1427.1120 0.0600 0.4360 0.0772 2.1256 -14.5200 12.2368 0.0041 0.0087
Ni 28 56 2p32->1s 1432.5340 0.0460 0.4370 0.0771 2.1253 -14.4900 12.2366 0.0032 0.0087
Ni 28 60 2p12->1s 1423.8600 0.0580 0.4610 0.0770 2.1264 -14.5300 12.4813 0.0037 0.0093
Ni 28 60 2p32->1s 1429.3600 0.0450 0.4610 0.0769 2.1261 -14.5000 12.4812 0.0032 0.0093
Ni 28 61 2p12->1s 1422.8490 0.0690 0.3870 0.0769 2.1266 -14.5300 12.5548 0.0046 0.0079
Ni 28 61 2p32->1s 1428.3970 0.0540 0.4260 0.0768 2.1264 -14.5000 12.5565 0.0037 0.0088
Ni 28 62 2p12->1s 1421.3420 0.0590 0.4570 0.0768 2.1270 -14.5400 12.6774 0.0042 0.0093
Ni 28 62 2p32->1s 1426.8140 0.0450 0.4580 0.0767 2.1268 -14.5100 12.6790 0.0033 0.0093
Ni 28 64 2p12->1s 1419.7080 0.0630 0.4360 0.0767 2.1274 -14.5400 12.8015 0.0042 0.0089
Ni 28 64 2p32->1s 1425.2260 0.0490 0.4380 0.0766 2.1271 -14.5100 12.8014 0.0033 0.0089
Cu 29 63 2p12->1s 1508.0520 0.0600 0.4670 0.0788 2.1312 -13.1200 12.8898 0.0037 0.0084
Cu 29 63 2p32->1s 1514.4520 0.0470 0.5380 0.0786 2.1310 -13.0800 12.8973 0.0028 0.0098
Cu 29 65 2p12->1s 1506.1470 0.0620 0.4280 0.0786 2.1317 -13.1200 13.0283 0.0038 0.0080
Cu 29 65 2p32->1s 1512.5340 0.0490 0.4890 0.0785 2.1314 -13.0900 13.0287 0.0028 0.0089
Zn 30 64 2p12->1s 1595.5280 0.0590 0.6080 0.0806 2.1355 -11.8900 13.1393 0.0033 0.0103
Zn 30 64 2p32->1s 1602.7090 0.0470 0.6090 0.0805 2.1352 -11.8600 13.1397 0.0028 0.0103
Zn 30 66 2p12->1s 1593.3130 0.0610 0.5940 0.0805 2.1360 -11.9000 13.2790 0.0033 0.0099
Zn 30 66 2p32->1s 1600.5530 0.0450 0.5950 0.0803 2.1357 -11.8600 13.2849 0.0024 0.0099
Zn 30 68 2p12->1s 1591.5210 0.0380 0.5800 0.0804 2.1364 -11.9100 13.3943 0.0024 0.0100
Zn 30 68 2p32->1s 1598.8000 0.0320 0.5810 0.0802 2.1361 -11.8700 13.4003 0.0019 0.0100
Zn 30 70 2p12->1s 1589.8630 0.1800 0.6140 0.0803 2.1368 -11.9200 13.5178 0.0100 0.0105
Zn 30 70 2p32->1s 1596.8170 0.1310 0.6150 0.0801 2.1364 -11.8800 13.5220 0.0071 0.0105
Ga 31 69 2p12->1s 1680.7750 0.0140 0.5120 0.0823 2.1404 -10.8400 13.5523 0.0009 0.0081
Ga 31 69 2p32->1s 1689.0360 0.0120 0.5670 0.0821 2.1400 -10.8100 13.5566 0.0005 0.0085
Ga 31 71 2p12->1s 1679.1410 0.0140 0.5260 0.0822 2.1407 -10.8500 13.6527 0.0010 0.0081
Ga 31 71 2p32->1s 1687.3310 0.0120 0.5510 0.0820 2.1403 -10.8200 13.6570 0.0005 0.0086
Ge 32 70 2p12->1s 1769.8590 0.0230 0.7040 0.0841 2.1446 -9.9250 13.7835 0.0010 0.0100
Ge 32 70 2p32->1s 1779.0700 0.0160 0.7060 0.0839 2.1442 -9.8910 13.7878 0.0010 0.0100
Ge 32 72 2p12->1s 1767.8350 0.0170 0.7350 0.0840 2.1449 -9.9360 13.8954 0.0010 0.0105
Ge 32 72 2p32->1s 1777.0430 0.0120 0.7380 0.0838 2.1445 -9.9020 13.8998 0.0005 0.0105
Ge 32 73 2p12->1s 1766.9980 0.0340 0.6820 0.0840 2.1451 -9.9400 13.9371 0.0014 0.0096
Ge 32 73 2p32->1s 1776.2440 0.0240 0.7000 0.0837 2.1447 -9.8990 13.9475 0.0010 0.0100
Ge 32 74 2p12->1s 1765.7290 0.0260 0.8360 0.0839 2.1453 -9.9470 14.0184 0.0014 0.0120
Ge 32 74 2p32->1s 1774.8810 0.0170 0.8390 0.0837 2.1449 -9.9120 14.0229 0.0010 0.0120
Ge 32 76 2p12->1s 1764.7780 0.0230 0.8170 0.0838 2.1455 -9.9460 14.0745 0.0010 0.0115
Ge 32 76 2p32->1s 1773.9460 0.0150 0.8190 0.0836 2.1451 -9.9120 14.0791 0.0010 0.0115
As 33 75 2p12->1s 1857.1240 0.0120 0.5570 0.0858 2.1491 -9.1320 14.1196 0.0005 0.0072
As 33 75 2p32->1s 1867.6640 0.0100 0.7610 0.0855 2.1486 -9.0940 14.1282 0.0005 0.0100
Se 34 76 2p12->1s 1947.1210 0.0210 1.0280 0.0875 2.1532 -8.4280 14.3629 0.0010 0.0125
Se 34 76 2p32->1s 1958.6200 0.0160 1.0360 0.0872 2.1528 -8.3880 14.3740 0.0005 0.0125
Se 34 77 2p12->1s 1946.8540 0.0200 0.7840 0.0875 2.1532 -8.4280 14.3629 0.0010 0.0096
Se 34 77 2p32->1s 1958.4170 0.0160 0.7900 0.0872 2.1528 -8.3880 14.3744 0.0005 0.0096
Se 34 78 2p12->1s 1946.8520 0.0170 0.9410 0.0875 2.1533 -8.4280 14.3737 0.0005 0.0115
Se 34 78 2p32->1s 1958.3660 0.0130 0.9490 0.0872 2.1528 -8.3900 14.3831 0.0005 0.0115
Se 34 80 2p12->1s 1946.8590 0.0140 0.8660 0.0875 2.1533 -8.4270 14.3718 0.0005 0.0105
Se 34 80 2p32->1s 1958.4040 0.0120 0.8720 0.0872 2.1528 -8.3890 14.3807 0.0005 0.0106
Se 34 82 2p12->1s 1946.8540 0.0230 0.8080 0.0875 2.1533 -8.4260 14.3718 0.0010 0.0101
Se 34 82 2p32->1s 1958.3660 0.0190 0.8140 0.0872 2.1528 -8.3880 14.3812 0.0010 0.0101
Br 35 79 2p12->1s 2039.7460 0.0200 0.7280 0.0893 2.1570 -7.7920 14.4753 0.0010 0.0081
Br 35 79 2p32->1s 2052.7980 0.0170 0.9330 0.0890 2.1564 -7.7560 14.4823 0.0005 0.0105
Br 35 81 2p12->1s 2040.2140 0.0240 0.6510 0.0893 2.1569 -7.7890 14.4541 0.0010 0.0072
Br 35 81 2p32->1s 2053.2610 0.0200 0.8270 0.0890 2.1563 -7.7530 14.4615 0.0010 0.0091
Kr 36 78 2p12->1s 2130.9170 0.0430 1.1740 0.0910 2.1610 -7.2420 14.6929 0.0014 0.0125
Kr 36 78 2p32->1s 2145.1800 0.0400 1.1830 0.0906 2.1604 -7.2010 14.7070 0.0014 0.0125
Kr 36 80 2p12->1s 2131.8390 0.0440 1.0640 0.0910 2.1609 -7.2350 14.6567 0.0014 0.0110
Kr 36 80 2p32->1s 2146.0910 0.0400 1.0710 0.0907 2.1603 -7.1990 14.6643 0.0014 0.0110
Kr 36 82 2p12->1s 2132.6960 0.0430 0.9310 0.0911 2.1607 -7.2350 14.6124 0.0014 0.0096
Kr 36 82 2p32->1s 2146.9760 0.0400 0.9380 0.0907 2.1601 -7.1950 14.6265 0.0014 0.0096
Kr 36 83 2p12->1s 2133.6010 0.0520 0.6830 0.0911 2.1606 -7.2280 14.5721 0.0019 0.0072
Kr 36 83 2p32->1s 2148.1080 0.0470 0.9360 0.0908 2.1600 -7.1930 14.5791 0.0014 0.0096
Kr 36 84 2p12->1s 2133.4060 0.0410 0.8330 0.0911 2.1607 -7.2300 14.5886 0.0014 0.0086
Kr 36 84 2p32->1s 2147.5740 0.0390 0.8380 0.0908 2.1601 -7.1940 14.5956 0.0014 0.0086
Kr 36 86 2p12->1s 2134.1910 0.0350 0.8610 0.0911 2.1606 -7.2250 14.5592 0.0014 0.0091
Kr 36 86 2p32->1s 2148.4980 0.0340 0.8660 0.0908 2.1600 -7.1890 14.5662 0.0010 0.0091
Rb 37 85 2p12->1s 2229.0140 0.0120 0.7700 0.0929 2.1641 -6.7220 14.6348 0.0005 0.0076
Rb 37 85 2p32->1s 2244.9640 0.0100 0.8530 0.0926 2.1634 -6.6880 14.6398 0.0005 0.0081
Rb 37 87 2p12->1s 2230.0300 0.0200 0.7580 0.0930 2.1640 -6.7210 14.5953 0.0005 0.0071
Rb 37 87 2p32->1s 2245.9040 0.0140 0.8070 0.0926 2.1633 -6.6820 14.6072 0.0005 0.0076
Sr 38 84 2p12->1s 2321.1610 0.0330 1.1250 0.0946 2.1680 -6.2850 14.8347 0.0010 0.0100
Sr 38 84 2p32->1s 2338.6770 0.0240 1.1360 0.0942 2.1673 -6.2470 14.8470 0.0010 0.0100
Sr 38 86 2p12->1s 2323.1510 0.0140 0.9200 0.0946 2.1678 -6.2740 14.7666 0.0005 0.0081
Sr 38 86 2p32->1s 2340.6600 0.0110 0.9290 0.0943 2.1671 -6.2400 14.7716 0.0005 0.0081
Sr 38 87 2p12->1s 2324.4120 0.0620 0.7240 0.0947 2.1676 -6.2720 14.7129 0.0019 0.0066
Sr 38 87 2p32->1s 2342.0090 0.0490 0.8430 0.0943 2.1669 -6.2340 14.7250 0.0014 0.0076
Sr 38 88 2p12->1s 2324.6730 0.0100 0.9290 0.0947 2.1676 -6.2720 14.7115 0.0005 0.0081
Sr 38 88 2p32->1s 2342.1920 0.0080 0.9370 0.0943 2.1669 -6.2330 14.7236 0.0005 0.0085
Y 39 89 2p12->1s 2420.7930 0.0100 0.8610 0.0965 2.1711 -5.8670 14.7797 0.0005 0.0071
Y 39 89 2p32->1s 2440.0620 0.0090 0.8670 0.0960 2.1703 -5.8260 14.7963 0.0005 0.0071
Zr 40 90 2p12->1s 2515.3680 0.0110 0.9680 0.0981 2.1747 -5.5040 14.9179 0.0005 0.0076
Zr 40 90 2p32->1s 2536.5000 0.0100 0.9750 0.0977 2.1738 -5.4690 14.9254 0.0005 0.0076
Zr 40 90 2p12->1s 2515.1220 0.0230 1.0830 0.1029 2.1950 -5.5100 15.0503 0.0005 0.0076
Zr 40 90 2p32->1s 2536.2370 0.0220 0.9640 0.1029 2.1970 -5.4700 15.0947 0.0005 0.0076
Zr 40 91 2p12->1s 2511.8610 0.0430 0.8800 0.0980 2.1751 -5.5130 15.0231 0.0009 0.0071
Zr 40 91 2p32->1s 2533.0470 0.0330 0.9570 0.0975 2.1742 -5.4740 15.0384 0.0009 0.0076
Zr 40 92 2p12->1s 2507.2270 0.0180 0.9760 0.0978 2.1755 -5.5250 15.1717 0.0005 0.0076
Zr 40 92 2p32->1s 2528.9680 0.0130 0.9840 0.0974 2.1747 -5.4880 15.1821 0.0005 0.0076
Zr 40 94 2p12->1s 2501.3730 0.0210 0.9530 0.0976 2.1761 -5.5410 15.3540 0.0005 0.0077
Zr 40 94 2p32->1s 2522.3860 0.0150 0.9460 0.0972 2.1753 -5.5030 15.3647 0.0005 0.0077
Zr 40 96 2p12->1s 2497.1670 0.0490 0.9590 0.0975 2.1766 -5.5530 15.4873 0.0014 0.0077
Zr 40 96 2p32->1s 2518.0810 0.0360 0.9660 0.0970 2.1757 -5.5120 15.5029 0.0010 0.0077
Nb 41 93 2p12->1s 2603.4180 0.0200 0.9910 0.0995 2.1789 -5.1940 15.2414 0.0005 0.0071
Nb 41 93 2p32->1s 2626.6800 0.0160 1.0600 0.0990 2.1780 -5.1540 15.2566 0.0005 0.0076
Mo 42 92 2p12->1s 2706.8040 0.0330 1.1160 0.1014 2.1817 -4.8780 15.1274 0.0009 0.0075
Mo 42 92 2p32->1s 2732.0500 0.0230 1.1270 0.1009 2.1807 -4.8400 15.1402 0.0005 0.0075
Mo 42 94 2p12->1s 2697.6640 0.0230 1.1910 0.1011 2.1825 -4.8990 15.3820 0.0005 0.0085
Mo 42 94 2p32->1s 2722.7390 0.0170 1.2030 0.1006 2.1815 -4.8610 15.3957 0.0005 0.0085
Mo 42 95 2p12->1s 2694.9310 0.0170 1.1050 0.1011 2.1828 -4.9080 15.4497 0.0005 0.0076
Mo 42 95 2p32->1s 2720.0720 0.0140 1.1160 0.1005 2.1818 -4.8650 15.4706 0.0005 0.0076
Mo 42 96 2p12->1s 2689.5460 0.0110 1.2580 0.1009 2.1833 -4.9190 15.6062 0.0005 0.0091
Mo 42 96 2p32->1s 2714.6380 0.0110 1.2720 0.1003 2.1823 -4.8770 15.6275 0.0005 0.0091
Mo 42 97 2p12->1s 2688.4680 0.0200 0.9950 0.1009 2.1834 -4.9220 15.6282 0.0005 0.0072
Mo 42 97 2p32->1s 2713.6710 0.0160 1.1390 0.1003 2.1824 -4.8790 15.6494 0.0005 0.0081
Mo 42 98 2p12->1s 2683.3470 0.0260 1.2590 0.1007 2.1839 -4.9330 15.7824 0.0005 0.0091
Mo 42 98 2p32->1s 2708.3730 0.0190 1.2720 0.1001 2.1829 -4.8900 15.8040 0.0005 0.0091
Mo 42 100 2p12->1s 2674.0220 0.0260 1.3980 0.1004 2.1848 -4.9540 16.0533 0.0005 0.0101
Mo 42 100 2p32->1s 2698.9550 0.0180 1.4110 0.0998 2.1838 -4.9110 16.0755 0.0005 0.0102
