Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton             DM
    1.00000e-06    7.79463e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.09887e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.20450e+10    0.00000e+00
    1.05207e-06    9.04252e+15    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.21206e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.55515e+10    0.00000e+00
    1.10685e-06    1.04902e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.33690e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.00789e+10    0.00000e+00
    1.16448e-06    1.21696e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.47460e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.59243e+10    0.00000e+00
    1.22511e-06    1.41179e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.62649e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.34714e+10    0.00000e+00
    1.28890e-06    1.63781e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.79402e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.32157e+10    0.00000e+00
    1.35602e-06    1.90002e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.97880e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.57967e+10    0.00000e+00
    1.42662e-06    2.20420e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.18262e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.20403e+10    0.00000e+00
    1.50090e-06    2.55709e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.40743e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.30127e+10    0.00000e+00
    1.57905e-06    2.96647e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.65540e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.20091e+11    0.00000e+00
