Hawking secondary spectra for each particle type.
energy/particle         photon       electron           nu_e          nu_mu         nu_tau         proton
    1.00000e-06    3.02396e-41    0.00000e+00    3.61236e-39    1.54170e-39    0.00000e+00    0.00000e+00
    1.05207e-06    9.04255e+15    0.00000e+00    4.04020e+18    4.04020e+18    4.04020e+18    0.00000e+00
    1.10685e-06    1.04902e+16    0.00000e+00    4.45634e+18    4.45634e+18    4.45634e+18    0.00000e+00
    1.16448e-06    1.21696e+16    0.00000e+00    4.91533e+18    4.91533e+18    4.91533e+18    0.00000e+00
    1.22511e-06    1.41178e+16    0.00000e+00    5.42159e+18    5.42159e+18    5.42159e+18    0.00000e+00
    1.28890e-06    1.63780e+16    0.00000e+00    5.98002e+18    5.98002e+18    5.98002e+18    0.00000e+00
    1.35602e-06    1.90004e+16    0.00000e+00    6.59605e+18    6.59605e+18    6.59605e+18    0.00000e+00
    1.42662e-06    2.20420e+16    0.00000e+00    7.27539e+18    7.27539e+18    7.27539e+18    0.00000e+00
    1.50090e-06    2.55707e+16    0.00000e+00    8.02475e+18    8.02475e+18    8.02475e+18    0.00000e+00
    1.57905e-06    2.96645e+16    0.00000e+00    8.85130e+18    8.85130e+18    8.85130e+18    0.00000e+00
    1.66127e-06    3.44137e+16    0.00000e+00    9.76301e+18    9.76301e+18    9.76301e+18    0.00000e+00
    1.74777e-06    3.99231e+16    0.00000e+00    1.07686e+19    1.07686e+19    1.07686e+19    0.00000e+00
    1.83878e-06    4.63150e+16    0.00000e+00    1.18779e+19    1.18779e+19    1.18779e+19    0.00000e+00
    1.93452e-06    5.10717e+16    0.00000e+00    1.29705e+19    1.29705e+19    1.29705e+19    0.00000e+00
    2.03525e-06    6.10182e+16    0.00000e+00    1.43319e+19    1.43319e+19    1.43319e+19    0.00000e+00
    2.14122e-06    7.26826e+16    0.00000e+00    1.58350e+19    1.58350e+19    1.58350e+19    0.00000e+00
    2.25271e-06    8.60590e+16    0.00000e+00    1.74970e+19    1.74970e+19    1.74970e+19    0.00000e+00
    2.37001e-06    1.00930e+17    0.00000e+00    1.93271e+19    1.93271e+19    1.93271e+19    0.00000e+00
    2.49341e-06    1.17194e+17    0.00000e+00    2.13514e+19    2.13514e+19    2.13514e+19    0.00000e+00
    2.62324e-06    1.34784e+17    0.00000e+00    2.35848e+19    2.35848e+19    2.35848e+19    0.00000e+00
    2.75983e-06    1.53931e+17    0.00000e+00    2.60430e+19    2.60430e+19    2.60430e+19    0.00000e+00
    2.90353e-06    1.75544e+17    0.00000e+00    2.87661e+19    2.87661e+19    2.87661e+19    0.00000e+00
    3.05471e-06    2.00653e+17    0.00000e+00    3.17622e+19    3.17622e+19    3.17622e+19    0.00000e+00
    3.21376e-06    2.30922e+17    0.00000e+00    3.50656e+19    3.50656e+19    3.50656e+19    0.00000e+00
    3.38110e-06    2.68493e+17    0.00000e+00    3.87141e+19    3.87141e+19    3.87141e+19    0.00000e+00
    3.55715e-06    3.14466e+17    0.00000e+00    4.27251e+19    4.27251e+19    4.27251e+19    0.00000e+00
    3.74237e-06    3.70464e+17    0.00000e+00    4.71543e+19    4.71543e+19    4.71543e+19    0.00000e+00
    3.93723e-06    4.35627e+17    0.00000e+00    5.20327e+19    5.20327e+19    5.20327e+19    0.00000e+00
    4.14223e-06    5.08310e+17    0.00000e+00    5.73934e+19    5.73934e+19    5.73934e+19    0.00000e+00
    4.35791e-06    5.87518e+17    0.00000e+00    6.33211e+19    6.33211e+19    6.33211e+19    0.00000e+00
    4.58482e-06    6.74466e+17    0.00000e+00    6.98331e+19    6.98331e+19    6.98331e+19    0.00000e+00
