# CHARMM CCD
C12  C
C13  C39
O13A O9
O13B O8
C11  C1
O13  O2
O14  O1
O12  O
O11  O3
C1   C3
O21  O6
O22  O7
C3   C4
O31  O4
C31  C5
O32  O5
C32  C6
C210 C30
C211 C31
C212 C32
C213 C33
C214 C34
C215 C35
C216 C36
C217 C37
C218 C38
C33  C7
C34  C8
C35  C9
C36  C10
C37  C11
C38  C12
C39  C13
C310 C14
C311 C15
C312 C16
C313 C17
C314 C18
C315 C19
C316 C20
