# CHARMM CCD
	P1   P01
   O12	 O04
   O13	 O03
   O14	 O05
   O11	 O02
   C1A	 C58
   C1B	 C56
   C1C	 C52
   C1D	 C55
   C1E	 C49
   C2A	 C45
   C2B	 C46
   C2C	 C36
   C2D	 C50
   C2E	 C31
   C3A	 C29
   C3B	 C34
   C3C	 C26
   C3D	 C46
   C3E	 C17
   C4A	 C19
   C4B	 C27
   C4C	 C20
   C4D	 C40
   C4E	 C08
   C5A	 C12
   C5B	 C24
   C5C	 C15
   C5D	 C38
   C5E	 C06
   C6A	 C10
   C6B	 C23
   C6C	 C14
   C6D	 C37
   C6E	 C07
   C7A	 C11
   C7B	 C25
   C7C	 C18
   C7D	 C39
   C7E	 C09
   C8A	 C13
   C8B	 C28
   C8C	 C22
   C8D	 C41
   C8E	 C16
   C9A	 C21
   C9B	 C33
   C9C	 C32
   C9D	 C48
   C9E	 C30
   C10A	 C35
   C10B	 C42
   C10C	 C44
   C10D	 C53
   C10E	 C47
   C11A	 C51
   C11B	 C54
   C11C	 C57
   C11D	 C59
   C11E	 C60
