# CHARMM CCD
C13  CAD
OC3  OAE
C12  C05
OC2  OAF
C11  C04
C1   C03
C2   C02
O21  O01
C21  C1
O22  O02
C22  C2
C3   C01
O31  O03
C31  C19
O32  O04
C32  C20
C23  C3
C24  C4
C25  C5
C26  C6
C27  C7
C28  C8
C29  C9
C210 C10
C211 C06
C212 C07
C213 C08
C214 C09
C215 C11
C216 C12
C217 C13
C218 C14
C33  C21
C34  C22
C35  C23
C36  C24
C37  C25
C38  C26
C39  C27
C310 C15
C311 C16
C312 C17
C313 C18
C314 C28
C315 C30
C316 C29
