# CHARMM CCD
  C12    C5
  C13    C6
  C14    C7
  C15    C8
  C11 	 C4
  O13 	 O1P
  O14 	 O2P
  O11 	 O3P
  O12 	 O4P
  O21 	 O2
  C21 	 C31
  O22 	 O31
  C22 	 C32
  O31 	 O3
  C31 	 C11
  O32 	 O11
  C32 	 C12
  C23 	 C33
  C24 	 C34
  C25 	 C35	
  C26 	 C36
  C27 	 C37
  C28 	 C38
  C29 	 C39
 C210 	 C40
 C211 	 C41
 C212 	 C42
 C213    C43
 C214    C44
  C33 	 C13
  C34 	 C14
  C35	 C15 	 
  C36	 C16
  C37	 C17 
  C38	 C18
  C39	 C19
 C310	 C20
 C311	 C21
 C312	 C22 
 C313	 C23
 C314	 C24
