sampleName	condition	batch	differential
Human_GSM4421321_Human_Left_Ventrice_Tissue_Healthy_CAGE_SINGLE_SRR11351697	Healthy	batch1	control
Human_GSM4421322_Human_Left_Ventrice_Tissue_Healthy_CAGE_SINGLE_SRR11351698	Healthy	batch1	control
Human_GSM4421323_Human_Left_Ventrice_Tissue_Healthy_CAGE_SINGLE_SRR11351699	Healthy	batch1	control
Human_GSM4421324_Human_Left_Ventrice_Tissue_Heart_Failure_CAGE_SINGLE_SRR11351700	Failure	batch1	test
Human_GSM4421325_Human_Left_Ventrice_Tissue_Heart_Failure_CAGE_SINGLE_SRR11351701	Failure	batch1	test
Human_GSM4421326_Human_Left_Ventrice_Tissue_Heart_Failure_CAGE_SINGLE_SRR11351702	Failure	batch1	test
Human_GSM4421327_Human_Left_Ventrice_Tissue_Heart_Failure_CAGE_SINGLE_SRR11351703	Failure	batch1	test
