Table S2.  212 Mammal and Plant diet mOTUs (identified to individual reference sequence) found within scats from six focal species collected from JRBP, expressed by the Count (number of scats containing prey species); FOO (Frequency Of Occurrence = number of occurrences / total scat sample size); POO (Percentage Of Occurrence = number of occurrences / total number of prey species across all samples).,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,
Functional Group,OTUs,Family,Genus,Rank,RefSeq,Jackrabbit (n=13),,,Deer (n=12),,,Gray Fox (n=48),,,Puma (n=12),,,Coyote (n=9),,,Bobcat (n=19),,
,,,,,,Count,FOO,POO,Count,FOO,POO,Count,FOO,POO,Count,FOO,POO,Count,FOO,POO,Count,FOO,POO
Large Mammal,Sus scrofa,Suidae,Sus,species,AB292606,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.08,5.9%,0,0.00,0.0%,0,0.00,0.0%
Large Mammal,Ondatra zibethicus,Cricetidae,Ondatra,species,KU177045,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.08,5.9%,0,0.00,0.0%,0,0.00,0.0%
Large Mammal,Procyon lotor,Procyonidae,Procyon,species,AB462203,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.08,5.9%,0,0.00,0.0%,0,0.00,0.0%
Large Mammal,Lepus cf. californicus,Leporidae,Lepus,genus,U58924,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,4,0.44,10.3%,2,0.11,6.3%
Large Mammal,Canis latrans,Canidae,Canis,genus,DQ480509,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.08,5.9%,0,0.00,0.0%,0,0.00,0.0%
Large Mammal,Odocoileus hemionus,Cervidae,Odocoileus,species,AF091708,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,7,0.58,41.2%,1,0.11,2.6%,2,0.11,6.3%
Small Mammal,Sciurus spp.,Sciuridae,Sciurus,genus,U59174,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,1,0.05,3.1%
Small Mammal,Mus musculus,Muridae,Mus,species,AB042432,0,0.00,0.0%,0,0.00,0.0%,2,0.04,0.7%,1,0.08,5.9%,0,0.00,0.0%,2,0.11,6.3%
Small Mammal,Neotominae,Neotominae,NA,subfamily,KY707303,0,0.00,0.0%,0,0.00,0.0%,8,0.17,2.8%,1,0.08,5.9%,0,0.00,0.0%,2,0.11,6.3%
Small Mammal,Thomomys cf. bottae,Geomyidae,Thomomys,genus,AM407912,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,1,0.08,5.9%,0,0.00,0.0%,4,0.21,12.5%
Small Mammal,Scapanus latimanus,Talpidae,Scapanus,species,KX754499,0,0.00,0.0%,0,0.00,0.0%,4,0.08,1.4%,0,0.00,0.0%,3,0.33,7.7%,0,0.00,0.0%
Small Mammal,Peromyscus spp.,Cricetidae,Peromyscus,genus,KY707306,0,0.00,0.0%,0,0.00,0.0%,5,0.10,1.7%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Small Mammal,Sciurus niger,Sciuridae,Sciurus,species,U67289,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,1,0.08,5.9%,2,0.22,5.1%,2,0.11,6.3%
Small Mammal,Sylvilagus bachmani macrorhinus,Leporidae,Sylvilagus,subspecies,KU057239,0,0.00,0.0%,0,0.00,0.0%,4,0.08,1.4%,1,0.08,5.9%,0,0.00,0.0%,4,0.21,12.5%
Small Mammal,Arvicolinae,Cricetidae,NA,subfamily,AJ972918,0,0.00,0.0%,0,0.00,0.0%,8,0.17,2.8%,1,0.08,5.9%,1,0.11,2.6%,8,0.42,25.0%
Small Mammal,Neotoma cf. fuscipes,Cricetidae,Neotoma,genus,KU745736,0,0.00,0.0%,0,0.00,0.0%,6,0.13,2.1%,0,0.00,0.0%,0,0.00,0.0%,5,0.26,15.6%
Grass,Triticinae,Poaceae,NA,subtribe,KF482081,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Poinae,Poaceae,NA,subtribe,AY237838,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Phleum pratense,Poaceae,Phleum,species,EU792341,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Bromus catharticus,Poaceae,Bromus,species,MF508972,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Cynodon,Poaceae,Cynodon,genus,KP205451,1,0.08,0.5%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Poeae,Poaceae,NA,tribe,AY237857,0,0.00,0.0%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Loliinae,Poaceae,NA,subtribe,Y09814,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Triticum,Poaceae,Triticum,genus,FJ196304,1,0.08,0.5%,0,0.00,0.0%,3,0.06,1.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Aveninae,Poaceae,NA,subtribe,AY216261,1,0.08,0.5%,2,0.17,0.8%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Triticum aestivum,Poaceae,Triticum,species,FJ609737,1,0.08,0.5%,0,0.00,0.0%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Poa,Poaceae,Poa,genus,EU792414,0,0.00,0.0%,2,0.17,0.8%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Poeae,Poaceae,NA,tribe,AJ632229,0,0.00,0.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Aveninae,Poaceae,NA,subtribe,AY881171,0,0.00,0.0%,1,0.08,0.4%,1,0.02,0.3%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
Grass,Dactylis glomerata,Poaceae,Dactylis,species,AM503893,2,0.15,1.0%,1,0.08,0.4%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%,0,0.00,0.0%
