0 1 2 3 4 5 6 7 8
0 1 2 3 4 5 74 75 76
0 1 2 3 9 10 11 12 13
0 1 2 3 14 15 16 17 18
0 1 2 3 19 20 21 22 23
0 1 2 3 24 25 26 27 28
0 1 2 3 29 30 31 32 33
0 1 2 3 34 35 36 37 38
0 1 2 3 39 40 41 42 43
0 1 2 3 44 45 46 47 48
0 1 2 3 49 50 51 52 53
0 1 2 3 54 55 56 57 58
0 1 2 3 59 60 61 62 63
0 1 2 3 64 65 66 67 68
0 1 2 3 69 70 71 72 73
4 5 7 11 19 35 40 58 67
4 6 10 18 34 39 57 66 76
4 8 16 32 37 55 64 74 75
4 9 27 36 46 47 49 53 61
4 12 28 33 51 60 70 71 73
4 13 23 24 26 30 38 54 59
4 14 15 17 21 29 45 50 68
4 20 25 43 52 62 63 65 69
4 22 31 41 42 44 48 56 72
5 6 8 12 20 36 41 59 68
5 9 17 33 38 56 65 75 76
5 10 28 37 47 48 50 54 62
5 13 29 34 52 61 71 72 74
5 14 24 25 27 31 39 55 60
5 15 16 18 22 30 46 51 69
5 21 26 44 53 63 64 66 70
5 23 32 42 43 45 49 57 73
6 7 9 13 21 37 42 60 69
6 11 29 38 48 49 51 55 63
6 14 30 35 53 62 72 73 75
6 15 25 26 28 32 40 56 61
6 16 17 19 23 31 47 52 70
6 22 27 45 54 64 65 67 71
6 24 33 43 44 46 50 58 74
7 8 10 14 22 38 43 61 70
7 12 30 39 49 50 52 56 64
7 15 31 36 54 63 73 74 76
7 16 26 27 29 33 41 57 62
7 17 18 20 24 32 48 53 71
7 23 28 46 55 65 66 68 72
7 25 34 44 45 47 51 59 75
8 9 11 15 23 39 44 62 71
8 13 31 40 50 51 53 57 65
8 17 27 28 30 34 42 58 63
8 18 19 21 25 33 49 54 72
8 24 29 47 56 66 67 69 73
8 26 35 45 46 48 52 60 76
9 10 12 16 24 40 45 63 72
9 14 32 41 51 52 54 58 66
9 18 28 29 31 35 43 59 64
9 19 20 22 26 34 50 55 73
9 25 30 48 57 67 68 70 74
10 11 13 17 25 41 46 64 73
10 15 33 42 52 53 55 59 67
10 19 29 30 32 36 44 60 65
10 20 21 23 27 35 51 56 74
10 26 31 49 58 68 69 71 75
11 12 14 18 26 42 47 65 74
11 16 34 43 53 54 56 60 68
11 20 30 31 33 37 45 61 66
11 21 22 24 28 36 52 57 75
11 27 32 50 59 69 70 72 76
12 13 15 19 27 43 48 66 75
12 17 35 44 54 55 57 61 69
12 21 31 32 34 38 46 62 67
12 22 23 25 29 37 53 58 76
13 14 16 20 28 44 49 67 76
13 18 36 45 55 56 58 62 70
13 22 32 33 35 39 47 63 68
14 19 37 46 56 57 59 63 71
14 23 33 34 36 40 48 64 69
15 20 38 47 57 58 60 64 72
15 24 34 35 37 41 49 65 70
16 21 39 48 58 59 61 65 73
16 25 35 36 38 42 50 66 71
17 22 40 49 59 60 62 66 74
17 26 36 37 39 43 51 67 72
18 23 41 50 60 61 63 67 75
18 27 37 38 40 44 52 68 73
19 24 42 51 61 62 64 68 76
19 28 38 39 41 45 53 69 74
20 29 39 40 42 46 54 70 75
21 30 40 41 43 47 55 71 76
