0 1 2 3 4
0 3 19 21 31
0 5 9 10 23
0 6 8 26 27
0 7 17 30 31
0 11 13 14 20
0 12 16 29 33
0 12 18 22 32
0 15 24 25 28
1 5 13 16 30
1 6 9 21 22
1 7 12 15 20
1 8 23 28 29
1 10 14 26 31
1 11 18 25 30
1 17 25 27 32
1 19 24 30 33
2 4 13 26 33
2 5 9 19 25
2 6 8 12 30
2 7 23 24 32
2 8 18 21 24
2 10 15 16 20
2 11 27 28 31
2 14 17 22 29
3 5 8 14 32
3 6 11 15 32
3 7 10 24 28
3 7 25 26 29
3 9 12 17 28
3 13 17 18 23
3 16 20 27 33
3 22 24 26 30
4 5 15 18 31
4 6 20 23 25
4 7 8 16 22
4 9 14 28 30
4 10 19 29 32
4 11 16 17 24
4 12 21 27 31
5 6 10 17 33
5 7 11 21 29
5 12 14 24 27
5 20 22 26 28
6 7 14 18 33
6 13 24 29 31
6 16 18 19 28
7 9 13 19 27
8 9 11 15 33
8 10 12 13 25
8 17 19 20 31
9 16 26 31 32
9 18 20 24 29
10 11 18 22 27
10 20 21 30 32
11 12 19 23 26
13 14 15 19 22
13 21 28 32 33
14 16 21 23 25
15 17 18 21 26
15 23 27 29 30
22 23 25 31 33
