0 1 2
0 3 4
0 5 6
0 7 8
0 9 10
0 11 12
0 11 31
0 13 24
0 14 18
0 15 29
0 16 26
0 17 23
0 19 37
0 20 30
0 21 28
0 22 35
0 25 27
0 32 39
0 33 36
0 34 38
1 3 7
1 4 8
1 5 35
1 6 31
1 9 14
1 10 22
1 11 23
1 12 25
1 13 16
1 15 34
1 17 21
1 18 37
1 19 36
1 20 29
1 23 32
1 24 38
1 26 39
1 27 30
1 28 33
2 3 31
2 3 39
2 4 12
2 5 30
2 6 21
2 7 37
2 8 35
2 9 23
2 10 36
2 11 20
2 13 25
2 14 33
2 15 38
2 16 29
2 17 18
2 19 28
2 22 32
2 24 27
2 26 34
3 5 32
3 6 14
3 8 12
3 9 13
3 10 33
3 11 38
3 15 19
3 16 18
3 17 20
3 21 27
3 22 28
3 23 36
3 24 26
3 25 37
3 29 34
3 30 35
4 5 23
4 5 29
4 6 20
4 7 22
4 9 32
4 10 19
4 11 18
4 13 17
4 14 36
4 15 28
4 16 39
4 21 24
4 25 34
4 26 38
4 27 35
4 30 31
4 33 37
5 7 20
5 8 15
5 9 21
5 10 18
5 11 13
5 12 19
5 14 31
5 16 24
5 17 39
5 22 33
5 25 38
5 26 36
5 27 37
5 28 34
6 7 28
6 8 13
6 9 25
6 10 38
6 11 33
6 12 22
6 13 29
6 15 24
6 16 36
6 17 19
6 18 23
6 26 35
6 27 34
6 30 37
6 32 39
7 9 24
7 10 39
7 11 26
7 12 27
7 13 35
7 14 38
7 15 21
7 16 34
7 17 30
7 18 29
7 19 25
7 21 33
7 23 31
7 32 36
8 9 30
8 10 14
8 11 27
8 15 18
8 16 28
8 17 33
8 19 24
8 20 39
8 21 31
8 22 34
8 23 25
8 26 32
8 29 36
8 37 38
9 11 39
9 12 19
9 15 17
9 16 27
9 18 20
9 22 38
9 26 28
9 27 29
9 31 34
9 33 35
9 36 37
10 11 16
10 12 26
10 13 20
10 15 35
10 17 27
10 21 34
10 23 30
10 24 28
10 25 32
10 29 37
10 31 37
11 14 19
11 15 36
11 17 35
11 21 29
11 22 30
11 24 25
11 28 32
11 34 37
12 13 36
12 14 28
12 15 39
12 16 33
12 17 24
12 18 31
12 20 37
12 21 23
12 29 34
12 30 38
12 32 35
13 14 37
13 15 27
13 18 30
13 19 32
13 21 26
13 22 23
13 28 38
13 31 39
13 33 34
14 15 30
14 16 35
14 17 34
14 20 25
14 21 32
14 22 24
14 23 39
14 26 29
14 27 33
15 16 23
15 20 26
15 22 31
15 25 33
15 32 37
16 17 25
16 19 21
16 20 31
16 22 37
16 29 38
16 30 32
17 18 22
17 26 37
17 28 31
17 29 32
17 36 38
18 19 26
18 21 38
18 24 33
18 25 28
18 27 36
18 32 34
18 35 39
19 20 27
19 22 29
19 23 33
19 30 35
19 31 38
19 34 39
20 21 22
20 23 34
20 24 32
20 28 36
20 29 33
20 35 38
21 25 39
21 30 36
21 35 37
22 25 36
22 26 27
22 36 39
23 24 37
23 26 38
23 27 28
23 29 35
24 25 35
24 29 39
24 30 34
24 31 36
25 26 30
25 29 31
26 31 33
27 31 32
27 38 39
28 29 30
28 31 35
28 37 39
30 33 39
32 33 38
34 35 36
