0 1 2 3 4 5 6 7 8 9
0 3 10 19 22 24 27 30 34 44
0 3 11 15 26 31 37 39 45 46
0 3 12 13 17 21 25 29 35 39
0 3 14 16 20 30 32 33 36 42
0 3 18 23 28 35 38 40 41 43
1 4 8 18 31 34 36 40 41 45
1 10 13 19 28 29 30 31 33 45
1 11 12 15 17 23 32 34 39 43
1 13 16 20 24 35 37 38 44 46
1 14 18 21 22 25 26 27 40 42
2 6 9 10 14 19 23 39 42 43
2 10 11 15 16 18 19 20 35 40
2 12 14 17 24 31 41 42 44 45
2 13 22 23 27 29 36 37 43 46
2 21 25 26 28 30 32 33 34 38
4 8 10 19 21 25 32 37 41 46
4 8 11 13 14 15 21 29 38 42
4 8 12 16 17 20 22 27 28 39
4 8 23 24 26 30 33 35 43 44
5 7 10 12 17 19 26 36 38 39
5 7 11 15 22 27 30 33 39 41
5 7 13 18 24 29 32 39 40 44
5 7 14 28 31 34 35 37 42 46
5 7 16 20 21 23 25 31 43 45
6 9 11 15 21 24 25 28 36 44
6 9 12 17 18 30 33 37 40 46
6 9 13 16 20 26 29 34 37 41
6 9 22 27 31 32 35 36 38 45
