0 1 2 3 4 5 6 7
0 1 6 9 21 33 34 35
0 6 8 10 14 15 17 23
0 6 11 20 22 25 29 30
0 6 12 13 16 18 19 27
0 6 24 26 28 31 32 36
1 2 19 21 22 28 30 31
1 3 11 13 14 15 21 24
1 4 10 12 18 21 25 26
1 5 8 20 21 23 27 29
1 7 11 16 17 21 32 36
2 4 8 12 18 23 24 35
2 4 9 10 11 27 32 36
2 5 9 13 17 25 26 34
2 14 15 16 20 26 29 33
3 7 10 19 24 25 27 33
3 8 9 16 23 25 28 31
3 12 18 20 29 32 34 36
3 16 17 22 26 27 30 35
4 5 10 16 22 24 30 34
4 9 13 17 19 20 24 29
4 14 15 27 28 31 33 34
5 11 12 17 18 28 31 33
5 14 15 19 25 32 35 36
7 8 11 19 23 26 34 35
7 9 12 14 15 18 22 30
7 10 13 20 28 29 31 35
8 13 22 23 30 32 33 36
