0 1 2 3 4 5 6 7
0 1 2 3 4 5 56 64
0 8 16 24 32 40 48 56
0 8 16 24 32 40 48 64
0 9 17 25 33 41 49 57
0 10 18 26 34 42 50 58
0 11 19 27 35 43 51 59
0 12 20 28 36 44 52 60
0 13 21 29 37 45 53 61
0 14 22 30 38 46 54 62
0 15 23 31 39 47 55 63
1 2 3 4 5 6 7 64
1 8 17 26 35 44 53 62
1 9 16 27 34 45 52 63
1 10 19 24 33 46 55 60
1 11 18 25 32 47 54 61
1 12 21 30 39 40 49 58
1 13 20 31 38 41 48 59
1 14 23 28 37 42 51 56
1 15 22 29 36 43 50 57
2 8 18 28 38 45 55 57
2 9 19 29 39 44 54 56
2 10 16 30 36 47 53 59
2 11 17 31 37 46 52 58
2 12 22 24 34 41 51 61
2 13 23 25 35 40 50 60
2 14 20 26 32 43 49 63
2 15 21 27 33 42 48 62
3 8 19 30 37 41 50 63
3 9 18 31 36 40 51 62
3 10 17 28 39 43 48 61
3 11 16 29 38 42 49 60
3 12 23 26 33 45 54 59
3 13 22 27 32 44 55 58
3 14 21 24 35 47 52 57
3 15 20 25 34 46 53 56
4 8 20 29 33 47 51 58
4 9 21 28 32 46 50 59
4 10 22 31 35 45 49 56
4 11 23 30 34 44 48 57
4 12 16 25 37 43 55 62
4 13 17 24 36 42 54 63
4 14 18 27 39 41 53 60
4 15 19 26 38 40 52 61
5 8 21 31 34 43 54 60
5 9 20 30 35 42 55 61
5 10 23 29 32 41 52 62
5 11 22 28 33 40 53 63
5 12 17 27 38 47 50 56
5 13 16 26 39 46 51 57
5 14 19 25 36 45 48 58
5 15 18 24 37 44 49 59
6 8 22 25 39 42 52 59
6 9 23 24 38 43 53 58
6 10 20 27 37 40 54 57
6 11 21 26 36 41 55 56
6 12 18 29 35 46 48 63
6 13 19 28 34 47 49 62
6 14 16 31 33 44 50 61
6 15 17 30 32 45 51 60
7 8 23 27 36 46 49 61
7 9 22 26 37 47 48 60
7 10 21 25 38 44 51 63
7 11 20 24 39 45 50 62
7 12 19 31 32 42 53 57
7 13 18 30 33 43 52 56
7 14 17 29 34 40 55 59
7 15 16 28 35 41 54 58
8 9 10 11 12 13 14 15
9 10 11 12 13 14 15 64
16 17 18 19 20 21 22 23
17 18 19 20 21 22 23 64
24 25 26 27 28 29 30 31
25 26 27 28 29 30 31 64
32 33 34 35 36 37 38 39
33 34 35 36 37 38 39 64
40 41 42 43 44 45 46 47
41 42 43 44 45 46 47 64
48 49 50 51 52 53 54 55
49 50 51 52 53 54 55 64
56 57 58 59 60 61 62 63
57 58 59 60 61 62 63 64
