0 1 2
0 3 4
0 5 6
0 7 8
0 9 10
0 11 32
0 12 45
0 13 29
0 14 25
0 15 41
0 16 42
0 17 39
0 18 30
0 19 21
0 20 48
0 22 43
0 23 36
0 24 26
0 27 28
0 31 34
0 33 49
0 35 44
0 37 50
0 38 40
0 46 47
1 3 28
1 4 20
1 5 24
1 6 47
1 7 36
1 8 23
1 9 19
1 10 38
1 11 46
1 12 35
1 13 34
1 14 32
1 15 30
1 16 39
1 17 45
1 18 21
1 22 25
1 26 37
1 27 40
1 29 42
1 31 49
1 33 50
1 41 48
1 43 44
2 3 47
2 4 13
2 5 20
2 6 28
2 7 16
2 8 18
2 9 27
2 10 32
2 11 25
2 12 34
2 14 26
2 15 38
2 17 21
2 19 44
2 22 30
2 23 40
2 24 42
2 29 37
2 31 50
2 33 36
2 35 43
2 39 49
2 41 45
2 46 48
3 5 37
3 6 9
3 7 43
3 8 21
3 10 39
3 11 12
3 13 33
3 14 30
3 15 35
3 16 40
3 17 44
3 18 49
3 19 29
3 20 38
3 22 24
3 23 48
3 25 42
3 26 34
3 27 46
3 31 41
3 32 45
3 36 50
4 5 22
4 6 42
4 7 23
4 8 19
4 9 38
4 10 41
4 11 30
4 12 37
4 14 27
4 15 31
4 16 32
4 17 18
4 21 29
4 24 49
4 25 50
4 26 43
4 28 39
4 33 35
4 34 40
4 36 46
4 44 45
4 47 48
5 7 27
5 8 17
5 9 50
5 10 46
5 11 36
5 12 40
5 13 35
5 14 42
5 15 34
5 16 23
5 18 32
5 19 48
5 21 30
5 25 31
5 26 49
5 28 45
5 29 41
5 33 43
5 38 47
5 39 44
6 7 26
6 8 45
6 10 20
6 11 21
6 12 46
6 13 23
6 14 38
6 15 18
6 16 50
6 17 34
6 19 36
6 22 48
6 24 35
6 25 39
6 27 43
6 29 31
6 30 32
6 33 37
6 40 49
6 41 44
7 9 40
7 10 17
7 11 13
7 12 15
7 14 39
7 18 37
7 19 49
7 20 33
7 21 47
7 22 46
7 24 25
7 28 32
7 29 34
7 30 44
7 31 38
7 35 41
7 42 48
7 45 50
8 9 41
8 10 49
8 11 34
8 12 47
8 13 15
8 14 31
8 16 30
8 20 50
8 22 32
8 24 48
8 25 27
8 26 28
8 29 40
8 33 39
8 35 38
8 36 44
8 37 42
8 43 46
9 11 15
9 12 22
9 13 45
9 14 35
9 16 37
9 17 31
9 18 36
9 20 46
9 21 33
9 23 39
9 24 34
9 25 48
9 26 44
9 28 29
9 30 43
9 32 47
9 42 49
10 11 26
10 12 28
10 13 25
10 14 15
10 16 27
10 18 34
10 19 43
10 21 35
10 22 23
10 24 37
10 29 33
10 30 42
10 31 48
10 36 40
10 44 50
10 45 47
11 14 50
11 16 41
11 17 33
11 18 27
11 19 45
11 20 44
11 22 31
11 23 37
11 24 39
11 28 35
11 29 38
11 40 48
11 42 43
11 47 49
12 13 26
12 14 48
12 16 33
12 17 25
12 18 50
12 19 42
12 20 36
12 21 27
12 23 44
12 24 32
12 29 43
12 30 38
12 31 39
12 41 49
13 14 41
13 16 18
13 17 28
13 19 31
13 20 42
13 21 22
13 24 40
13 27 48
13 30 47
13 32 50
13 36 49
13 37 44
13 38 46
13 39 43
14 16 43
14 17 24
14 18 29
14 19 34
14 20 23
14 21 49
14 22 47
14 28 44
14 33 40
14 36 45
14 37 46
15 16 48
15 17 46
15 19 47
15 20 24
15 21 43
15 22 44
15 23 50
15 25 45
15 26 29
15 27 37
15 28 49
15 32 33
15 36 39
15 40 42
16 17 36
16 19 28
16 20 45
16 21 34
16 22 35
16 24 29
16 25 47
16 26 31
16 38 44
16 46 49
17 19 32
17 20 35
17 22 40
17 23 29
17 26 47
17 27 38
17 30 49
17 37 48
17 41 42
17 43 50
18 19 35
18 20 22
18 23 46
18 24 44
18 25 40
18 26 33
18 28 48
18 31 43
18 38 45
18 39 41
18 42 47
19 20 27
19 22 41
19 23 24
19 25 37
19 26 46
19 30 50
19 33 38
19 39 40
20 21 25
20 26 41
20 28 30
20 29 39
20 31 47
20 32 40
20 34 49
20 37 43
21 23 26
21 24 36
21 28 31
21 32 37
21 38 42
21 39 45
21 40 44
21 41 46
21 48 50
22 26 27
22 28 50
22 29 49
22 33 34
22 36 37
22 38 39
22 42 45
23 25 43
23 27 30
23 28 42
23 31 45
23 32 38
23 33 47
23 34 41
23 35 49
24 27 31
24 28 38
24 30 33
24 41 50
24 43 47
24 45 46
25 26 38
25 28 34
25 29 30
25 32 46
25 33 41
25 35 36
25 44 49
26 30 45
26 32 36
26 35 42
26 39 48
26 40 50
27 29 50
27 32 49
27 33 42
27 34 45
27 35 39
27 36 41
27 44 47
28 33 46
28 36 43
28 37 40
28 41 47
29 32 48
29 35 45
29 36 47
29 44 46
30 31 37
30 34 36
30 35 48
30 39 46
30 40 41
31 32 35
31 33 44
31 36 42
31 40 46
32 34 39
32 41 43
32 42 44
33 45 48
34 35 37
34 38 43
34 42 46
34 44 48
34 47 50
35 40 47
35 46 50
36 38 48
37 38 41
37 39 47
37 45 49
38 49 50
39 42 50
40 43 45
43 48 49
