0 1 2
0 3 4
0 5 6
0 7 8
0 9 26
0 10 15
0 11 31
0 12 29
0 13 44
0 14 24
0 16 39
0 17 42
0 18 44
0 19 36
0 20 22
0 21 30
0 23 38
0 25 27
0 28 46
0 32 44
0 33 40
0 34 45
0 35 37
0 41 43
1 3 22
1 4 13
1 5 44
1 6 24
1 7 28
1 8 16
1 9 17
1 10 23
1 11 45
1 12 21
1 14 27
1 15 36
1 18 39
1 19 46
1 20 42
1 25 30
1 26 38
1 29 34
1 31 40
1 32 33
1 35 43
1 37 41
2 3 16
2 4 43
2 5 31
2 6 38
2 7 39
2 8 44
2 9 21
2 10 25
2 11 12
2 13 20
2 14 34
2 15 32
2 17 30
2 18 23
2 19 37
2 22 42
2 24 46
2 26 40
2 27 33
2 28 45
2 29 41
2 35 36
3 5 28
3 6 40
3 7 34
3 8 42
3 9 25
3 10 14
3 11 26
3 12 13
3 15 24
3 17 39
3 18 35
3 19 33
3 20 44
3 21 46
3 23 37
3 27 41
3 29 38
3 30 32
3 31 43
3 36 45
4 5 29
4 6 30
4 7 41
4 8 45
4 9 40
4 10 26
4 11 19
4 12 20
4 14 38
4 15 42
4 16 28
4 17 23
4 18 27
4 21 34
4 22 39
4 24 25
4 31 33
4 32 46
4 35 44
4 36 37
5 7 18
5 8 23
5 9 38
5 10 13
5 11 17
5 12 27
5 14 22
5 15 41
5 16 45
5 19 30
5 20 32
5 21 37
5 24 34
5 25 36
5 26 43
5 33 39
5 35 40
5 42 46
6 7 42
6 8 29
6 9 27
6 10 21
6 11 15
6 12 25
6 13 43
6 14 41
6 16 23
6 17 37
6 18 46
6 19 22
6 20 28
6 26 35
6 31 45
6 32 34
6 33 36
6 39 44
7 9 14
7 10 17
7 11 27
7 12 44
7 13 40
7 15 25
7 16 38
7 19 32
7 20 24
7 21 45
7 22 36
7 23 33
7 26 46
7 29 35
7 30 43
7 31 37
8 9 34
8 10 41
8 11 39
8 12 30
8 13 27
8 14 15
8 17 46
8 18 38
8 19 43
8 20 25
8 21 33
8 22 24
8 26 36
8 28 32
8 31 35
8 37 40
9 10 28
9 11 20
9 12 45
9 13 39
9 15 35
9 16 30
9 18 31
9 19 23
9 22 44
9 24 43
9 29 37
9 32 36
9 33 46
9 41 42
10 11 24
10 12 19
10 16 42
10 18 30
10 20 43
10 22 31
10 27 32
10 29 36
10 33 45
10 34 39
10 35 38
10 37 44
10 40 46
11 13 42
11 14 21
11 16 32
11 18 34
11 22 43
11 23 41
11 25 38
11 28 40
11 29 30
11 33 35
11 36 44
11 37 46
12 14 42
12 15 31
12 16 26
12 17 22
12 18 40
12 23 28
12 24 36
12 32 35
12 33 34
12 37 38
12 39 41
12 43 46
13 14 26
13 15 33
13 16 31
13 17 36
13 18 37
13 19 38
13 21 41
13 22 46
13 23 34
13 24 28
13 25 29
13 30 35
13 32 45
14 16 18
14 17 28
14 19 25
14 20 29
14 23 35
14 30 40
14 31 32
14 33 43
14 36 46
14 37 39
14 44 45
15 16 17
15 18 28
15 19 39
15 20 26
15 21 43
15 22 23
15 27 37
15 29 45
15 30 46
15 34 40
15 38 44
16 19 20
16 21 27
16 22 40
16 24 44
16 25 33
16 29 46
16 34 36
16 35 41
16 37 43
17 18 25
17 19 31
17 20 40
17 21 24
17 26 33
17 27 38
17 29 32
17 34 43
17 35 45
17 41 44
18 19 29
18 20 33
18 21 22
18 24 26
18 32 41
18 36 43
18 42 45
19 21 44
19 24 41
19 26 28
19 27 34
19 35 42
19 40 45
20 21 35
20 23 46
20 27 36
20 30 37
20 31 41
20 34 38
20 39 45
21 23 32
21 25 40
21 26 31
21 28 29
21 36 39
21 38 42
22 25 32
22 26 30
22 27 35
22 28 37
22 29 33
22 34 41
22 38 45
23 24 40
23 25 31
23 26 45
23 27 39
23 29 43
23 30 36
23 42 44
24 27 31
24 29 42
24 30 45
24 32 37
24 33 38
24 35 39
25 26 41
25 28 35
25 34 44
25 37 45
25 39 46
25 42 43
26 27 42
26 29 44
26 32 39
26 34 37
27 28 30
27 29 40
27 43 45
27 44 46
28 31 44
28 33 41
28 34 42
28 36 38
28 39 43
29 31 39
30 31 34
30 33 44
30 38 41
30 39 42
31 36 42
31 38 46
32 38 43
32 40 42
33 37 42
34 35 46
36 40 41
38 39 40
40 43 44
41 45 46
