# CHARMM CCD
    P   P23
  O13   O24 
  O14   O25
  O12   O26
  O11   O22
   C1   C21
   C2   C20
  O21   O30
  C21   C31
  O22   O32
  C22   C33
   C3   C19
  O31   O18
  C31   C16
  O32   O17
  C32   C15
  C23   C34
  C24   C35
  C25   C36
  C26   C37
  C27   C38
  C28   C39
  C29   C40
 C210   C41
 C211   C42
 C212   C43
 C213   C44
 C214   C45
 C215   C46
 C216   C47
 C217   C48
 C218   C49
  C33   C14
  C34   C13
  C35   C12
  C36   C11
  C37   C10
  C38   C09
  C39   C08
 C310   C07
 C311   C06
 C312   C05
 C313   C04
 C314   C03
 C315   C02
 C316   C01
