# CHARMM CCD
  C1A    CCR
  C5A    CCC
  O5A    OBY
  C2A    CCV
  O2A    OAU
  C3A    CCT
  O3A    OAS
  C4A    CCN
  O4A    OAQ 
  C6A    CBM
  O6A    OAI
  C1B    C1
  O1B    O1
  C5B    C5
  O5B    O5 
  C2B    C2
  O2B    O2
  C3B    C3
  O3B    O3
  C4B    C4
  O4B    O4
  C6B    C6
  O6B    O6
  C1C    CBS
  C2C    CCM
  C3C    CBQ
  C4C    CBK
  C5C    CBI
  C6C    CBG
  C7C    CBE
  C8C    CBC
  C9C    CBA
  C10C   CAY
  C11C   CAW
  C12C   CAA
  C1D    CCS
  C5D    CCD
  O5D    OBZ
  C2D    CCW
  O2D    OAV
  C3D    CCU
  O3D    OAT
  C4D    CCO
  O4D    OAR
  C6D    CBN
  O6D    OAJ
  C1E    CCJ
  O1E    OBV
  C5E    CCF
  O5E    OBX
  C2E    CCL
  O2E    OAP
  C3E    CCH
  O3E    OAN
  C4E    CCQ
  O4E    OCB
  C6E    CBP
  O6E    OAL
  C1F    CBT
  C3F    CBR
  C4F    CBL
  C5F    CBJ
  C6F    CBH
  C7F    CBF
  C8F    CBD
  C9F    CBB
  C10F   CAZ
  C11F   CAX
  C12F   CAB  
