# CHARMM CCD
N    N1
C12  C39
C11  C38
P    P1
O13  O6
O14  O7
O11  O5
O12  O8
C1   C37
C2   C19
O21  O2
C21  C18
O22  O1
C22  C17
C3   C20
O31  O3
C31  C21
O32  O4
C32  C22
C23  C16
C24  C15
C25  C14
C26  C13
C27  C12
C28  C11
C29  C10
C210 C9
C211 C8
C212 C7
C213 C6
C214 C5
C215 C4
C216 C3
C217 C2
C218 C1
C33  C23
C34  C24
C35  C25
C36  C26
C37  C27
C38  C28
C39  C29
C310 C30
C311 C31
C312 C32
C313 C33
C314 C34
C315 C35
C316 C36
