# CHARMM CCD
	N 	 N25
  C12    C24
  C11 	 C23
    P 	 P19
  O13 	 O20
  O14 	 O21
  O11 	 O18
  O12 	 O22
   C1 	 C17
   C2 	 C16
  O21 	 O26
  C21 	 C27
  O22 	 O28
  C22 	 C29
   C3 	 C15
  O31 	 O14
  C31 	 C12
  O32 	 O13
  C32 	 C11
  C23 	 C30
  C24 	 C31
  C25 	 C32	
  C26 	 C33
  C27 	 C34
  C28 	 C35
  C29 	 C36
 C210 	 C37
 C211 	 C38
 C212 	 C39
  C33 	 C10
  C34 	 C09
  C35	 C08 	 
  C36	 C07
  C37	 C06 
  C38	 C05
  C39	 C04
 C310	 C03
 C311	 C02
 C312	 C01 
