Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton             DM
    1.00000e-06    1.62598e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.78545e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.26800e+10    0.00000e+00
    1.05207e-06    1.88630e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.96936e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.51051e+10    0.00000e+00
    1.10685e-06    2.18828e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.17220e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    7.11474e+10    0.00000e+00
    1.16448e-06    2.53862e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.39594e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.18599e+10    0.00000e+00
    1.22511e-06    2.94504e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.64273e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.18602e+11    0.00000e+00
    1.28890e-06    3.41653e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.91493e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.53130e+11    0.00000e+00
    1.35602e-06    3.96350e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.21517e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.97709e+11    0.00000e+00
    1.42662e-06    4.59804e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.54634e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.55267e+11    0.00000e+00
    1.50090e-06    5.06308e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.87225e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.00482e+11    0.00000e+00
    1.57905e-06    6.04815e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    4.27848e+19    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.79139e+11    0.00000e+00
