Materiau;CS;Permanente;Long terme;Moyen terme;Court terme;Instantanee
Massif;1;0.6;0.7;0.8;0.9;1.1
Massif;2;0.6;0.7;0.8;0.9;1.1
Massif;3;0.5;0.55;0.65;0.7;0.9
BLC;1;0.6;0.7;0.8;0.9;1.1
BLC;2;0.6;0.7;0.8;0.9;1.1
BLC;3;0.5;0.55;0.65;0.7;0.9
LVL;1;0.6;0.7;0.8;0.9;1.1
LVL;2;0.6;0.7;0.8;0.9;1.1
LVL;3;0.5;0.55;0.65;0.7;0.9
CP;1;0.6;0.7;0.8;0.9;1.1
CP;2;0.6;0.7;0.8;0.9;1.1
CP;3;0.5;0.55;0.65;0.7;0.9
OSB 2;1;0.3;0.45;0.65;0.85;1.1
OSB 3/4;1;0.4;0.5;0.7;0.90;1.1
OSB 3/4;2;0.3;0.4;0.55;0.7;0.9
