Type;kfi
Massif;1.25
BLC;1.15
LVL;1.1
CP;1.15
OSB 2;1.15
OSB 3/4;1.15
Assemblages cisaillement avec flasques bois; 1.15
Assemblages cisaillement avec flasques métalliques; 1.05
Assemblages solicitation axiale; 1.05
