Type;1;2;3
Massif;0.6;0.8;2
BLC;0.6;0.8;2
LVL;0.6;0.8;2
CP;0.8;1;2.5
OSB 2;2.25;**;**
OSB 3/4;1.5;2.25;**
P4;2.25;**;**
P5;2.25;3;**
P6;1.5;**;**
P7;1.5;2.25;**
