# E_gamma(MeV)   TotalSpectrum
5.1454400000e-01 1.5673896333e+19
5.4133600000e-01 1.8391867010e+19
5.6952300000e-01 2.1471361008e+19
5.9917700000e-01 2.3960585859e+19
6.3037500000e-01 2.5601408290e+19
6.6319800000e-01 2.6499163243e+19
6.9773000000e-01 2.6864833259e+19
7.3406000000e-01 2.6825655339e+19
7.7228100000e-01 2.6489637670e+19
8.1249300000e-01 2.5937066093e+19
8.5479800000e-01 2.5244052363e+19
8.9930700000e-01 2.4445735932e+19
9.4613200000e-01 2.3578997970e+19
9.9539600000e-01 2.2660683958e+19
1.0472300000e+00 2.1719641922e+19
1.1017500000e+00 2.0769991893e+19
1.1591200000e+00 1.9829769529e+19
1.2194700000e+00 1.8895240957e+19
1.2829700000e+00 1.7974559919e+19
1.3497700000e+00 1.7080728314e+19
1.4200500000e+00 1.6214367613e+19
1.4939900000e+00 1.5375665024e+19
1.5717800000e+00 1.4569633586e+19
1.6536200000e+00 1.3788185132e+19
1.7397300000e+00 1.3042369208e+19
1.8303100000e+00 1.2327499265e+19
1.9256100000e+00 1.1645410672e+19
2.0258800000e+00 1.0992449397e+19
2.1313600000e+00 1.0369785284e+19
2.2423400000e+00 9.7782028095e+18
2.3591000000e+00 9.2135434470e+18
2.4819300000e+00 8.6789451742e+18
2.6111600000e+00 8.1715934862e+18
2.7471200000e+00 7.6896663570e+18
2.8901600000e+00 7.2335664753e+18
3.0406500000e+00 6.8010497137e+18
3.1989700000e+00 6.3928273812e+18
3.3655300000e+00 6.0060142153e+18
3.5407700000e+00 5.6402234737e+18
3.7251400000e+00 5.2954005629e+18
3.9191000000e+00 4.9698741731e+18
4.1231600000e+00 4.6624573097e+18
4.3378500000e+00 4.3733736250e+18
4.5637200000e+00 4.1005575973e+18
4.8013400000e+00 3.8454951782e+18
5.0513400000e+00 3.6055338005e+18
5.3143600000e+00 3.3798524663e+18
5.5910700000e+00 3.1690872890e+18
5.8821900000e+00 2.9717336520e+18
6.1884700000e+00 2.7879969552e+18
6.5106900000e+00 2.6172791923e+18
6.8497000000e+00 2.4591025651e+18
7.2063500000e+00 2.3132893069e+18
7.5815800000e+00 2.1792091790e+18
7.9763400000e+00 2.0572167408e+18
8.3916600000e+00 1.9469168574e+18
8.8286000000e+00 1.8481458536e+18
9.2882900000e+00 1.7608752387e+18
9.7719200000e+00 1.6846557956e+18
1.0280700000e+01 1.6204060906e+18
1.0816000000e+01 1.5652288355e+18
1.1379200000e+01 1.5189103029e+18
1.1971700000e+01 1.4808474763e+18
1.2595100000e+01 1.4484852055e+18
1.3250900000e+01 1.4207727148e+18
1.3940800000e+01 1.3946717827e+18
1.4666700000e+01 1.3683718535e+18
1.5430400000e+01 1.3394128724e+18
1.6233800000e+01 1.3044079934e+18
1.7079100000e+01 1.2626898959e+18
1.7968400000e+01 1.2123312766e+18
1.8904000000e+01 1.1550208696e+18
1.9888300000e+01 1.0905274010e+18
2.0923800000e+01 1.0198053841e+18
2.2013300000e+01 9.4344586426e+17
2.3159500000e+01 8.6029174793e+17
2.4365400000e+01 7.7591540284e+17
2.5634100000e+01 6.9239026991e+17
2.6968800000e+01 6.1545149046e+17
2.8373000000e+01 5.4638766652e+17
2.9850400000e+01 4.8560628250e+17
3.1404700000e+01 4.3175975195e+17
3.3039900000e+01 3.8245848896e+17
3.4760200000e+01 3.3736372289e+17
3.6570100000e+01 2.9560030420e+17
3.8474300000e+01 2.5663219698e+17
4.0477600000e+01 2.2109399861e+17
4.2585200000e+01 1.8820272788e+17
4.4802500000e+01 1.5828473250e+17
4.7135300000e+01 1.3230569756e+17
4.9589600000e+01 1.0975142599e+17
5.2171700000e+01 9.1207935536e+16
5.4888200000e+01 7.5959503808e+16
5.7746200000e+01 6.3638834124e+16
6.0752900000e+01 5.3693845892e+16
6.3916200000e+01 4.5322246607e+16
6.7244300000e+01 3.8466414593e+16
7.0745600000e+01 3.2694648344e+16
7.4429200000e+01 2.7789278648e+16
7.8304700000e+01 2.3625786785e+16
8.2381900000e+01 1.9935686445e+16
8.6671400000e+01 1.6712007700e+16
9.1184300000e+01 1.3947631169e+16
9.5932100000e+01 1.1577106143e+16
1.0092700000e+02 9.6285969294e+15
1.0618200000e+02 7.9707533412e+15
1.1171100000e+02 6.5849751439e+15
1.1752800000e+02 5.4196788093e+15
1.2364700000e+02 4.4391037778e+15
1.3008500000e+02 3.6083526676e+15
1.3685900000e+02 2.8949231032e+15
1.4398500000e+02 2.2921294976e+15
1.5148200000e+02 1.7747943279e+15
1.5936900000e+02 1.3386918559e+15
1.6766800000e+02 9.8578743904e+14
1.7639800000e+02 7.0378859670e+14
1.8558300000e+02 4.8703851839e+14
1.9524600000e+02 3.3126527130e+14
2.0541200000e+02 2.1951665924e+14
2.1610700000e+02 1.4472554094e+14
2.2736000000e+02 9.5137902093e+13
2.3919800000e+02 6.1813280138e+13
