Time (Ma),Temperature (C),Depth (m),Pressure (MPa)
0.0,0.0,-2.995936831950985e-13,0.0
0.5,4.292623881334633,150.00000000000253,4.191974770128276
1.0,8.58934850154762,299.9999999999999,8.383947820498788
1.5,12.889993881319393,449.99999999997715,12.575919226590399
2.0,17.164876446245838,599.9999999999544,16.766699615161972
2.5,21.428584934496364,749.9999999999317,20.956882469757794
3.0,25.69567603833254,899.9999999999089,25.147062400172345
3.5,29.95122146807872,1049.9999999999059,29.336650267877936
4.0,34.180375727109386,1199.9999999999968,33.52505594093095
4.5,38.41236508209842,1350.0000000000878,37.71345779030292
5.0,42.64693060951839,1500.0000000001787,41.901856107189595
5.5,46.8399470931879,1650.0000000002697,46.08849892643491
6.0,51.03522849206882,1800.0000000003606,50.27513742897463
6.5,55.23250714140153,1950.0000000004516,54.46177200857588
7.0,59.40236029424216,2100.0000000005425,58.64724599774993
7.5,63.55926886939173,2250.0000000006335,62.83213729198734
8.0,67.71758906918333,2400.0000000007244,67.0170246893457
8.5,71.86249189816793,2550.0000000008154,71.20133580989055
9.0,75.97930260821916,2700.0000000009063,75.38449750790828
9.5,80.09691560942808,2850.0000000009973,79.5676557888972
10.0,84.21501125504004,3000.000000001088,83.75081133405384
10.5,88.28993434531267,3150.000000001179,87.93226259936405
11.0,92.3650123624114,3300.00000000127,92.11371142773667
11.5,96.43991560819182,3450.000000001361,96.29515863863367
12.0,100.48553200263088,3600.000000001452,100.47548175488488
12.5,104.51616410643892,3750.000000001543,104.65524248888435
13.0,108.54594839789384,3900.000000001634,108.83500322966263
13.5,112.56019294957356,4050.000000001725,113.01420914929413
14.0,116.54437844151528,4200.000000001501,117.19230495083484
14.5,120.52700539109833,4350.000000001137,121.37040295442331
15.0,124.50770560246153,4500.000000000773,125.54850431541415
15.5,128.4433431284691,4650.000000000409,129.72496027856548
16.0,132.37665550422366,4800.0000000000455,133.9014212867941
16.5,136.30725681405465,4949.999999999682,138.0778886987198
17.0,140.20637875502058,5099.999999999318,142.25327588092202
17.5,144.08808806378187,5249.999999998954,146.42812781124505
18.0,147.96626835043693,5399.99999999859,150.60298985924462
18.5,151.8263763925295,5549.9999999982265,154.77732566691
19.0,155.654045683595,5699.999999997863,158.95059880965758
19.5,159.47730657748605,5849.999999997499,163.1238865606429
20.0,163.29572427913132,5999.999999997135,167.29719071101357
20.5,167.06674377452754,6149.999999996771,171.46891796993944
21.0,170.83238945127562,6299.9999999964075,175.64066523532048
21.5,174.59219757395303,6449.999999996044,179.8124346132878
22.0,178.31777375063356,6599.99999999568,183.98317725302715
22.5,182.02287968719915,6749.999999995316,188.15342091606212
23.0,185.72108140078277,6899.999999994952,192.3236933971175
23.5,189.39797784378388,7049.9999999945885,196.49347797811075
24.0,193.0393493888671,7199.999999994225,200.6622583976321
24.5,196.67263969256936,7349.999999993861,204.83107552906037
25.0,200.29729584337005,7499.999999993497,208.99993216801246
25.5,203.87141255021643,7649.999999993133,213.16729368737987
26.0,207.43612307335934,7799.9999999927695,217.33470124741086
26.5,210.99082382291812,7949.999999992406,221.5021581705119
27.0,214.50751437582315,8099.999999992042,225.66865585161966
27.5,217.99953761280625,8249.999999991678,229.83470456911766
28.0,221.48001822888688,8399.999999991314,234.00081421343688
28.5,224.93465789622223,8549.99999999095,238.16648939426491
29.0,228.349347172972,8699.999999990587,242.33123587212415
29.5,231.75074171135756,8849.999999990223,246.4960569567729
30.0,235.13805588176604,8999.99999998986,250.6609573212982
30.5,238.4700917835641,9149.999999989495,254.8244652424595
31.0,241.78679217615587,9299.999999989132,258.988064102345
31.5,245.08726774586023,9449.999999988768,263.15175957973065
32.0,248.34388881974363,9599.999999988404,267.3145869018019
32.5,251.56935265692547,9749.99999998804,271.47703926911896
33.0,254.77608736847318,9899.999999987676,275.63960906267187
33.5,257.94976618377706,10049.999999987313,279.8018251430952
34.0,261.07625502151785,10199.999999986949,283.9632185515766
34.5,264.1810200877883,10349.999999986585,288.12475469479295
35.0,267.26276390667766,10499.999999986221,292.28644240053006
35.5,270.28097915112676,10649.999999985857,296.4468795122161
36.0,273.2738171867509,10799.999999985494,300.6074906129609
36.5,276.239724251959,10949.99999998513,304.76828688159424
37.0,279.1512497519046,11099.999999984766,308.92835389628283
37.5,282.01989164373043,11249.999999984402,313.08817053685425
38.0,284.856744207964,11399.999999984038,317.24821470514325
38.5,287.6469953016358,11549.999999983675,321.40804620859063
39.0,290.37598656361115,11699.99999998331,325.5672290342672
39.5,293.0669692066502,11849.999999982947,329.7266941360248
40.0,295.7172593354333,11999.999999982583,333.88646204814546
40.5,298.2865872798579,12149.99999998222,338.0452145405107
41.0,300.80967772577225,12299.999999981856,342.2043224046027
41.5,303.2829663791504,12449.999999981492,346.36381418167906
42.0,305.6780746654028,12599.999999981128,350.5228439471439
42.5,308.00330371703933,12749.999999980764,354.68189129951776
43.0,310.2659987236481,12899.9999999804,358.8414376013944
43.5,312.4485353918351,13049.999999980037,363.00110002632294
44.0,314.5329728558355,13199.999999979673,367.16050780357403
44.5,316.5359174417111,13349.999999979309,371.320589612631
45.0,318.4485260714211,13499.999999978945,375.48142359966516
45.5,320.2262390209739,13649.999999978581,379.64184202291415
46.0,321.89175076960976,13799.999999978218,383.80323078441694
46.5,323.4299387486483,13949.999999977854,387.96573693790253
47.0,324.80055532311167,14099.99999997749,392.12872661551506
47.5,325.99235574881305,14249.999999977126,396.2928726249852
48.0,326.9872591149544,14399.999999976762,400.4589443352537
48.5,327.73910671504575,14549.999999976399,404.62706681763524
49.0,328.1992658993294,14699.999999976035,408.797691827507
49.5,328.37167167369853,14849.999999975671,412.9731713004155
