Model ID,Simulation time (Myr),Time step (yr),Model thickness (km),Node points,Surface temperature (C),Basal temperature (C),Mantle adiabat,Crustal density (kg m^-3),Mantle removal fraction,Mantle removal start time (Ma),Mantle removal end time (Ma),Erosion model type,Erosion model option 1,Erosion model option 2,Erosion model option 3,Erosion model option 4,Erosion model option 5,Erosion model option 6,Erosion model option 7,Erosion model option 8,Erosion model option 9,Erosion model option 10,Initial Moho depth (km),Initial Moho temperature (C),Initial surface heat flow (mW m^-2),Initial surface elevation (km),Final Moho depth (km),Final Moho temperature (C),Final surface heat flow (mW m^-2),Final surface elevation (km),Total exhumation (km),Apatite grain radius (um),Apatite U concentration (ppm), Apatite Th concentration (ppm),Zircon grain radius (um),Zircon U concentration (ppm), Zircon Th concentration (ppm),Predicted apatite (U-Th)/He age (Ma),Predicted apatite (U-Th)/He closure temperature (C),Measured apatite (U-Th)/He age (Ma),Measured apatite (U-Th)/He standard deviation (Ma),Predicted apatite fission-track age (Ma),Predicted apatite fission-track closure temperature (C),Measured apatite fission-track age (Ma),Measured apatite fission-track standard deviation (Ma),Predicted zircon (U-Th)/He age (Ma),Predicted zircon (U-Th)/He closure temperature (C),Measured zircon (U-Th)/He age (Ma),Measured zircon (U-Th)/He standard deviation (Ma),Predicted zircon fission-track age (Ma),Predicted zircon fission-track closure temperature (C),Measured zircon fission-track age (Ma),Measured zircon fission-track standard deviation (Ma),Misfit,Misfit type,Number of ages for misfit
EE1-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,673.3582,87.4067,0.0000,35.0000,700.3608,95.6494,0.0465,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,8.0000,54.7364,-9999.0000,-9999.0000,15.4323,103.3152,-9999.0000,-9999.0000,20.7100,136.4181,-9999.0000,-9999.0000,41.0133,250.9560,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE1-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,932.4812,101.4850,0.0000,35.0000,820.1895,107.0072,-1.1810,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,7.1500,55.6262,-9999.0000,-9999.0000,13.5569,104.7101,-9999.0000,-9999.0000,17.7600,136.4019,-9999.0000,-9999.0000,33.9562,251.9774,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE2-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,528.7717,63.1379,0.0378,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,11.6300,52.1879,-9999.0000,-9999.0000,22.9311,99.9406,-9999.0000,-9999.0000,30.3600,129.5231,-9999.0000,-9999.0000,48.1839,188.5285,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE2-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,10.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,686.1654,64.1823,0.0000,35.0000,613.1280,70.7460,-1.0925,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,10.3900,52.9298,-9999.0000,-9999.0000,20.2050,101.0719,-9999.0000,-9999.0000,26.9500,132.6677,-9999.0000,-9999.0000,47.3190,212.4082,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE4-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,5.0000,45.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,540.3725,79.0008,0.0580,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,2.4500,63.8701,-9999.0000,-9999.0000,5.9574,106.9766,-9999.0000,-9999.0000,18.1200,133.1212,-9999.0000,-9999.0000,47.1020,188.0806,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE4-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,2,5.0000,45.0000,5.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,45.0000,686.1654,64.1823,0.0000,35.0000,646.3821,89.6941,-1.0206,10.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,2.1700,64.8922,-9999.0000,-9999.0000,4.4204,113.4766,-9999.0000,-9999.0000,12.4800,137.4173,-9999.0000,-9999.0000,45.6375,211.6403,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE5-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,673.3582,87.4067,0.0000,35.0000,727.4601,104.5917,0.0936,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,4.0300,60.1734,-9999.0000,-9999.0000,7.5098,109.6627,-9999.0000,-9999.0000,9.2200,133.0933,-9999.0000,-9999.0000,19.0596,257.2041,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE5-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,1189.1667,113.9583,0.0000,35.0000,980.1819,130.6575,-2.3987,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,3.2600,61.8539,-9999.0000,-9999.0000,5.9347,111.8714,-9999.0000,-9999.0000,6.9300,130.2740,-9999.0000,-9999.0000,14.2234,261.3671,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE6-crust-only-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,35.0000,506.4552,57.0429,0.0000,35.0000,551.3357,69.8043,0.0763,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,5.7800,57.1740,-9999.0000,-9999.0000,11.0582,106.1636,-9999.0000,-9999.0000,14.5400,136.7638,-9999.0000,-9999.0000,29.6339,253.2028,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
EE6-explicit,50.0000,500.0000,125.0000,251,0.0000,1.3e+03,True,2850.0000,0.0000,0.0000,-1.0000,1,20.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,0.0000,55.0000,865.4167,70.5208,0.0000,35.0000,728.7611,87.2240,-2.2050,20.0000,45.0000,10.0000,40.0000,60.0000,100.0000,40.0000,4.6900,58.8807,-9999.0000,-9999.0000,8.7660,108.4267,-9999.0000,-9999.0000,10.9100,133.7787,-9999.0000,-9999.0000,21.9921,255.9947,-9999.0000,-9999.0000,-9999.000000,-9999.0,0
