# Time (Ma),Predicted Apatite (U-Th)/He age (Ma),Predicted Apatite fission-track age (Ma),Predicted Zircon (U-Th)/He age (Ma),Predicted Zircon fission-track age (Ma)
49.00000000,49.99000000,50.05508000,49.99000000,49.99643883
48.00000000,49.97000000,50.09604000,49.98000000,49.99274666
47.00000000,49.93000000,50.12569000,49.97000000,49.98847295
46.00000000,49.89000000,50.14317000,49.95000000,49.98353820
45.00000000,49.80000000,50.14683000,49.94000000,49.97784117
44.00000000,49.65000000,50.13458000,49.93000000,49.97126357
43.00000000,49.37000000,50.10392000,49.91000000,49.96367110
42.00000000,48.89000000,50.05184000,49.88000000,49.95490931
41.00000000,48.11000000,49.97472000,49.84000000,49.94480198
40.00000000,47.09000000,49.86907000,49.78000000,49.93314829
39.00000000,46.02000000,49.72749000,49.66000000,49.91971765
38.00000000,44.97000000,49.54347000,49.45000000,49.90424865
37.00000000,43.93000000,49.30678000,49.13000000,49.88644149
36.00000000,42.89000000,49.00196000,48.72000000,49.86595566
35.00000000,41.86000000,48.52513000,48.23000000,49.84240314
34.00000000,40.83000000,47.67738000,47.65000000,49.81534133
33.00000000,39.80000000,46.51431000,46.99000000,49.78426901
32.00000000,38.78000000,45.37753000,46.28000000,49.74861413
31.00000000,37.76000000,44.27772000,45.53000000,49.70772886
30.00000000,36.74000000,43.18904000,44.74000000,49.66087787
29.00000000,35.72000000,42.11823000,43.93000000,49.60722629
28.00000000,34.71000000,41.05079000,43.09000000,49.54582940
27.00000000,33.69000000,40.00054000,42.24000000,49.47561654
26.00000000,32.68000000,38.95071000,41.37000000,49.39537901
25.00000000,31.67000000,37.90384000,40.49000000,49.30374535
24.00000000,30.66000000,36.87200000,39.59000000,49.19917138
23.00000000,29.65000000,35.82488000,38.69000000,49.07991312
22.00000000,28.64000000,34.79496000,37.78000000,48.94400086
21.00000000,27.63000000,33.76418000,36.87000000,48.78921299
20.00000000,26.63000000,32.75368000,35.94000000,48.61305752
19.00000000,25.62000000,31.72608000,35.02000000,48.41271674
18.00000000,24.62000000,30.69564000,34.08000000,48.18503448
17.00000000,23.61000000,29.68919000,33.14000000,47.92644988
16.00000000,22.61000000,28.65212000,32.20000000,47.63298230
15.00000000,21.60000000,27.64733000,31.25000000,47.30014812
14.00000000,20.60000000,26.63966000,30.30000000,46.92292914
13.00000000,19.60000000,25.63076000,29.34000000,46.48158206
12.00000000,18.60000000,24.62200000,28.38000000,45.90172295
11.00000000,17.60000000,23.61437000,27.42000000,45.17160609
10.00000000,16.60000000,22.60790000,26.45000000,44.27856269
9.00000000,15.60000000,21.59727000,25.48000000,43.20646588
8.00000000,14.60000000,20.58593000,24.51000000,41.88717727
7.00000000,13.60000000,19.57440000,23.53000000,40.59345061
6.00000000,12.60000000,18.55736000,22.55000000,39.38040243
5.00000000,11.60000000,17.58338000,21.57000000,38.19295238
4.00000000,10.60000000,16.57859000,20.58000000,37.01763203
3.00000000,9.61000000,15.56124000,19.59000000,35.90570775
2.00000000,8.61000000,14.58554000,18.60000000,34.80270870
1.00000000,7.61000000,13.58082000,17.61000000,33.70495318
0.00000000,6.62000000,12.55516000,16.60000000,32.61377197
