Track length,Probability
0.050000,0.000000
0.150000,0.000000
0.250000,0.000000
0.350000,0.000000
0.450000,0.000000
0.550000,0.000000
0.650000,0.000000
0.750000,0.000000
0.850000,0.000000
0.950000,0.000000
1.050000,0.000000
1.150000,0.000000
1.250000,0.000000
1.350000,0.000000
1.450000,0.000000
1.550000,0.000000
1.650000,0.000000
1.750000,0.000000
1.850000,0.000000
1.950000,0.000000
2.050000,0.000000
2.150000,0.000000
2.250000,0.000490
2.350000,0.000520
2.450000,0.000550
2.550000,0.000581
2.650000,0.000614
2.750000,0.000649
2.850000,0.000685
2.950000,0.000724
3.050000,0.000764
3.150000,0.000806
3.250000,0.000850
3.350000,0.000897
3.450000,0.000946
3.550000,0.000997
3.650000,0.001051
3.750000,0.001108
3.850000,0.001168
3.950000,0.001230
4.050000,0.001297
4.150000,0.001366
4.250000,0.001441
4.350000,0.001518
4.450000,0.001599
4.550000,0.001685
4.650000,0.001775
4.750000,0.001869
4.850000,0.001969
4.950000,0.002074
5.050000,0.002184
5.150000,0.002300
5.250000,0.002422
5.350000,0.002551
5.450000,0.002687
5.550000,0.002832
5.650000,0.002983
5.750000,0.003142
5.850000,0.003309
5.950000,0.003485
6.050000,0.003671
6.150000,0.003867
6.250000,0.004073
6.350000,0.004290
6.450000,0.004519
6.550000,0.004762
6.650000,0.005017
6.750000,0.005285
6.850000,0.005567
6.950000,0.005865
7.050000,0.006178
7.150000,0.006508
7.250000,0.006856
7.350000,0.007224
7.450000,0.007610
7.550000,0.008016
7.650000,0.008443
7.750000,0.008893
7.850000,0.009366
7.950000,0.009867
8.050000,0.010390
8.150000,0.010941
8.250000,0.011519
8.350000,0.012127
8.450000,0.012765
8.550000,0.013440
8.650000,0.014144
8.750000,0.014883
8.850000,0.015659
8.950000,0.016477
9.050000,0.017331
9.150000,0.018227
9.250000,0.019170
9.350000,0.020155
9.450000,0.021187
9.550000,0.022273
9.650000,0.023407
9.750000,0.024595
9.850000,0.025844
9.950000,0.027149
10.050000,0.028521
10.150000,0.029956
10.250000,0.031463
10.350000,0.033045
10.450000,0.034699
10.550000,0.036441
10.650000,0.038269
10.750000,0.040190
10.850000,0.042210
10.950000,0.044334
11.050000,0.046573
11.150000,0.048937
11.250000,0.051432
11.350000,0.054065
11.450000,0.056849
11.550000,0.059789
11.650000,0.062902
11.750000,0.066203
11.850000,0.069706
11.950000,0.073425
12.050000,0.077377
12.150000,0.081578
12.250000,0.086045
12.350000,0.090793
12.450000,0.095838
12.550000,0.101195
12.650000,0.106873
12.750000,0.112882
12.850000,0.119224
12.950000,0.125900
13.050000,0.132899
13.150000,0.140207
13.250000,0.147796
13.350000,0.155632
13.450000,0.163668
13.550000,0.171843
13.650000,0.180087
13.750000,0.188315
13.850000,0.196431
13.950000,0.204329
14.050000,0.211891
14.150000,0.218994
14.250000,0.225511
14.350000,0.231310
14.450000,0.236265
14.550000,0.240255
14.650000,0.243169
14.750000,0.244909
14.850000,0.245396
14.950000,0.244574
15.050000,0.242409
15.150000,0.238893
15.250000,0.234047
15.350000,0.227918
15.450000,0.220581
15.550000,0.212134
15.650000,0.202699
15.750000,0.192417
15.850000,0.181442
15.950000,0.169937
16.050000,0.158073
16.150000,0.146019
16.250000,0.133939
16.350000,0.121988
16.450000,0.110309
16.550000,0.099029
16.650000,0.088256
16.750000,0.078079
16.850000,0.068566
16.950000,0.059765
17.050000,0.051705
17.150000,0.044396
17.250000,0.037833
17.350000,0.031996
17.450000,0.026853
17.550000,0.022365
17.650000,0.018484
17.750000,0.015159
17.850000,0.012336
17.950000,0.009961
18.050000,0.007981
18.150000,0.006345
18.250000,0.005004
18.350000,0.003916
18.450000,0.003041
18.550000,0.002343
18.650000,0.001791
18.750000,0.001358
18.850000,0.001021
18.950000,0.000762
19.050000,0.000565
19.150000,0.000415
19.250000,0.000302
19.350000,0.000219
19.450000,0.000157
19.550000,0.000112
19.650000,0.000079
19.750000,0.000055
19.850000,0.000038
19.950000,0.000026
