# E_gamma(MeV)   TotalSpectrum
5.1454400000e-01 1.5968123852e+19
5.4133600000e-01 1.8747296778e+19
5.6952300000e-01 2.1891250989e+19
5.9917700000e-01 2.4396585528e+19
6.3037500000e-01 2.6047510831e+19
6.6319800000e-01 2.6951241626e+19
6.9773000000e-01 2.7318404377e+19
7.3406000000e-01 2.7276773201e+19
7.7228100000e-01 2.6935403923e+19
8.1249300000e-01 2.6376016742e+19
8.5479800000e-01 2.5674428824e+19
8.9930700000e-01 2.4866108104e+19
9.4613200000e-01 2.3988974075e+19
9.9539600000e-01 2.3059641483e+19
1.0472300000e+00 2.2107627625e+19
1.1017500000e+00 2.1146560444e+19
1.1591200000e+00 2.0195114504e+19
1.2194700000e+00 1.9249459041e+19
1.2829700000e+00 1.8318118025e+19
1.3497700000e+00 1.7413028508e+19
1.4200500000e+00 1.6536207459e+19
1.4939900000e+00 1.5687247115e+19
1.5717800000e+00 1.4870830591e+19
1.6536200000e+00 1.4079706785e+19
1.7397300000e+00 1.3323964172e+19
1.8303100000e+00 1.2599530216e+19
1.9256100000e+00 1.1908331932e+19
2.0258800000e+00 1.1246539818e+19
2.1313600000e+00 1.0614830403e+19
2.2423400000e+00 1.0014615764e+19
2.3591000000e+00 9.4414796858e+18
2.4819300000e+00 8.8986406960e+18
2.6111600000e+00 8.3835814294e+18
2.7471200000e+00 7.8934302454e+18
2.8901600000e+00 7.4296511455e+18
3.0406500000e+00 6.9894231263e+18
3.1989700000e+00 6.5741643983e+18
3.3655300000e+00 6.1799669357e+18
3.5407700000e+00 5.8070118546e+18
3.7251400000e+00 5.4552737226e+18
3.9191000000e+00 5.1230400201e+18
4.1231600000e+00 4.8090108723e+18
4.3378500000e+00 4.5135615772e+18
4.5637200000e+00 4.2344138828e+18
4.8013400000e+00 3.9733320247e+18
5.0513400000e+00 3.7274028642e+18
5.3143600000e+00 3.4959234867e+18
5.5910700000e+00 3.2796962945e+18
5.8821900000e+00 3.0768954423e+18
6.1884700000e+00 2.8879445106e+18
6.5106900000e+00 2.7121907252e+18
6.8497000000e+00 2.5491996751e+18
7.2063500000e+00 2.3987318746e+18
7.5815800000e+00 2.2601952385e+18
7.9763400000e+00 2.1339261424e+18
8.3916600000e+00 2.0197096662e+18
8.8286000000e+00 1.9170626537e+18
9.2882900000e+00 1.8262459731e+18
9.7719200000e+00 1.7466864705e+18
1.0280700000e+01 1.6793643509e+18
1.0816000000e+01 1.6212474169e+18
1.1379200000e+01 1.5720320314e+18
1.1971700000e+01 1.5310659206e+18
1.2595100000e+01 1.4953875971e+18
1.3250900000e+01 1.4638629568e+18
1.3940800000e+01 1.4332701408e+18
1.4666700000e+01 1.4020446981e+18
1.5430400000e+01 1.3680922509e+18
1.6233800000e+01 1.3285308371e+18
1.7079100000e+01 1.2831944038e+18
1.7968400000e+01 1.2304938537e+18
1.8904000000e+01 1.1722180905e+18
1.9888300000e+01 1.1078079496e+18
2.0923800000e+01 1.0378442242e+18
2.2013300000e+01 9.6246713872e+17
2.3159500000e+01 8.7999749400e+17
2.4365400000e+01 7.9562467782e+17
2.5634100000e+01 7.1124220011e+17
2.6968800000e+01 6.3255405207e+17
2.8373000000e+01 5.6099937476e+17
2.9850400000e+01 4.9728946592e+17
3.1404700000e+01 4.4035545478e+17
3.3039900000e+01 3.8807994276e+17
3.4760200000e+01 3.4042446707e+17
3.6570100000e+01 2.9665400812e+17
3.8474300000e+01 2.5637011706e+17
4.0477600000e+01 2.2021619908e+17
4.2585200000e+01 1.8732193885e+17
4.4802500000e+01 1.5803642722e+17
4.7135300000e+01 1.3317645485e+17
4.9589600000e+01 1.1213250276e+17
5.2171700000e+01 9.5265529840e+16
5.4888200000e+01 8.1702850278e+16
5.7746200000e+01 7.0896381024e+16
6.0752900000e+01 6.2190727303e+16
6.3916200000e+01 5.4720403430e+16
6.7244300000e+01 4.8286512917e+16
7.0745600000e+01 4.2485393675e+16
7.4429200000e+01 3.7081631788e+16
7.8304700000e+01 3.2052716662e+16
8.2381900000e+01 2.7279255071e+16
8.6671400000e+01 2.2889116997e+16
9.1184300000e+01 1.9024142843e+16
9.5932100000e+01 1.5749603532e+16
1.0092700000e+02 1.3149003268e+16
1.0618200000e+02 1.1091268799e+16
1.1171100000e+02 9.5077277856e+15
1.1752800000e+02 8.2543128664e+15
1.2364700000e+02 7.2069034125e+15
1.3008500000e+02 6.2737973552e+15
1.3685900000e+02 5.3978826183e+15
1.4398500000e+02 4.5656761858e+15
1.5148200000e+02 3.7793533492e+15
1.5936900000e+02 3.0517454113e+15
1.6766800000e+02 2.4050192069e+15
1.7639800000e+02 1.8429804345e+15
1.8558300000e+02 1.3683655452e+15
1.9524600000e+02 9.9157159174e+14
2.0541200000e+02 6.9511985410e+14
2.1610700000e+02 4.7791144981e+14
2.2736000000e+02 3.2274310997e+14
2.3919800000e+02 2.1312195009e+14
2.5165300000e+02 1.3947628669e+14
2.6475600000e+02 8.8598565459e+13
2.7854100000e+02 5.5519951500e+13
2.9304500000e+02 3.4978210030e+13
3.0830300000e+02 2.1438833312e+13
3.2435600000e+02 1.2793220178e+13
3.4124500000e+02 7.2410138171e+12
3.5901300000e+02 3.8221591691e+12
3.7770600000e+02 1.9639695887e+12
3.9737300000e+02 9.4982579050e+11
4.1806400000e+02 4.6293818628e+11
4.3983200000e+02 2.2888953680e+11
4.6273300000e+02 1.0566070037e+11
4.8682700000e+02 4.5075372659e+10
5.1217600000e+02 1.7648206108e+10
5.3884400000e+02 6.5634854375e+09
5.6690100000e+02 2.6043915894e+09
5.9641800000e+02 9.2889347875e+08
6.2747300000e+02 2.9409990816e+08
6.6014500000e+02 9.1336491266e+07
6.9451800000e+02 2.6125159937e+07
7.3068000000e+02 7.5194255203e+06
7.6872600000e+02 1.8499766258e+06
8.0875200000e+02 4.0235206782e+05
8.5086300000e+02 9.6814792742e+04
8.9516600000e+02 1.8187171212e+04
9.4177700000e+02 3.2537146206e+03
9.9081400000e+02 5.8723648081e+02
1.0424000000e+03 7.4636612273e+01
1.0966800000e+03 1.1795564414e+01
1.1537800000e+03 1.4213478052e+00
1.2138600000e+03 1.1894903899e-01
1.2770600000e+03 1.3750574371e-02
1.3435600000e+03 1.0105370351e-03
1.4135200000e+03 8.0856438226e-05
1.4871200000e+03 5.4286335012e-06
1.5645500000e+03 2.3623015494e-07
1.6460100000e+03 1.4925956277e-08
1.7317200000e+03 6.0273690895e-10
1.8218900000e+03 2.2439769689e-11
1.9167500000e+03 6.2228053290e-13
2.0165500000e+03 1.5494600467e-14
2.1215500000e+03 3.5760738590e-16
2.2320200000e+03 6.1681797229e-18
2.3482300000e+03 7.8774731183e-20
2.4705000000e+03 9.1556266752e-22
2.5991400000e+03 8.6704745423e-24
2.7344700000e+03 5.3087896016e-26
2.8768500000e+03 3.0493515767e-28
3.0266500000e+03 1.2470144464e-30
3.1842400000e+03 3.4788548569e-33
3.3500400000e+03 8.8902856941e-36
3.5244700000e+03 1.2848028890e-38
3.7079900000e+03 1.6868165570e-41
3.9010600000e+03 1.2412001799e-44
4.1041800000e+03 8.0007296399e-48
4.3178800000e+03 2.6940711448e-51
4.5427100000e+03 7.8382458690e-55
4.7792400000e+03 1.2492386068e-58
5.0280900000e+03 1.2394963388e-62
5.2898900000e+03 1.0566534635e-66
5.5653300000e+03 3.7569523274e-71
5.8551100000e+03 7.7835540552e-76
6.1599800000e+03 1.0555902898e-80
6.4807200000e+03 8.5032850879e-86
6.8181600000e+03 9.3682091774e-91
7.1731700000e+03 5.7669013983e-96
7.5466700000e+03 6.2955547746e-102
7.9396200000e+03 4.5053264143e-109
8.3530200000e+03 3.5923092146e-114
8.7879500000e+03 1.0304362185e-120
9.2455300000e+03 3.0032371774e-128
9.7269300000e+03 4.1542385986e-135
1.0233400000e+04 4.8368594352e-143
1.0766200000e+04 8.0866150785e-150
1.1326800000e+04 1.3302770667e-158
1.1916600000e+04 2.0989694351e-172
1.2537100000e+04 1.7000201624e-182
1.3189900000e+04 5.6985442909e-193
1.3876600000e+04 3.9752306420e-197
1.4599200000e+04 9.9358866327e-212
1.5359300000e+04 1.1155275483e-219
1.6159100000e+04 2.6241759654e-234
1.7000500000e+04 6.6032313423e-253
1.7885700000e+04 1.0765121052e-264
1.8816900000e+04 1.9548659759e-268
1.9796700000e+04 2.8172803803e-281
2.0827500000e+04 9.2821915139e-295
2.1912000000e+04 0.0000000000e+00
2.3052900000e+04 0.0000000000e+00
2.4253200000e+04 0.0000000000e+00
2.5516100000e+04 0.0000000000e+00
2.6844600000e+04 0.0000000000e+00
2.8242400000e+04 0.0000000000e+00
2.9713000000e+04 0.0000000000e+00
3.1260100000e+04 0.0000000000e+00
3.2887700000e+04 0.0000000000e+00
3.4600200000e+04 0.0000000000e+00
3.6401700000e+04 0.0000000000e+00
3.8297100000e+04 0.0000000000e+00
4.0291200000e+04 0.0000000000e+00
4.2389100000e+04 0.0000000000e+00
4.4596300000e+04 0.0000000000e+00
4.6918300000e+04 0.0000000000e+00
4.9361300000e+04 0.0000000000e+00
5.1931500000e+04 0.0000000000e+00
5.4635500000e+04 0.0000000000e+00
5.7480300000e+04 0.0000000000e+00
6.0473200000e+04 0.0000000000e+00
6.3622000000e+04 0.0000000000e+00
6.6934700000e+04 0.0000000000e+00
7.0419900000e+04 0.0000000000e+00
7.4086600000e+04 0.0000000000e+00
7.7944200000e+04 0.0000000000e+00
