Hawking primary spectra for each particle types.
energy/particle         photon         gluons          higgs            W+-             Z0      neutrinos       electron           muon            tau             up           down          charm        strange            top         bottom       graviton             DM
    1.00000e-06    5.89198e+12    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    9.55533e+16    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.12784e+04    0.00000e+00
    1.05207e-06    6.83526e+12    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.05395e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.62066e+04    0.00000e+00
    1.10685e-06    7.92956e+12    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.16251e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.54808e+04    0.00000e+00
    1.16448e-06    9.19904e+12    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.28225e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.10366e+05    0.00000e+00
    1.22511e-06    1.06718e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.41433e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.42496e+05    0.00000e+00
    1.28890e-06    1.23803e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.56000e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.83980e+05    0.00000e+00
    1.35602e-06    1.43623e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.72068e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.37540e+05    0.00000e+00
    1.42662e-06    1.66616e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.89792e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.06693e+05    0.00000e+00
    1.50090e-06    1.93291e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.09341e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.95978e+05    0.00000e+00
    1.57905e-06    2.24236e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.30903e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    5.11256e+05    0.00000e+00
    1.66127e-06    2.60135e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.54686e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    6.60093e+05    0.00000e+00
    1.74777e-06    3.01781e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    2.80919e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    8.52260e+05    0.00000e+00
    1.83878e-06    3.50095e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.09854e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.10037e+06    0.00000e+00
    1.93452e-06    4.06144e+13    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    3.41769e+17    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    0.00000e+00    1.42071e+06    0.00000e+00
